inventory_id,scenario,changed_capability,status,feasible,before_tok_s,after_tok_s,throughput_change,before_critical_path_ms,after_critical_path_ms,replanning_ms,optimizer_reported_ms,old_placement_changed_conditions_tok_s,improvement_vs_no_replan,replan_threshold,improvement_over_threshold_triggered_new_plan,fallback_retained,changed_resource_used_after,harmful_join_ignored,beneficial_join_non_regression,beneficial_join_admitted_and_improved,manual_topology_supplied,placement_changes,changed_layers,migration_bytes,granularity_changes,nodes_added,nodes_removed,endpoint_nodes_added,endpoint_nodes_removed,wavefront_chunk_changed
full-mixed-01,JOIN_HARMFUL,dynamic-harmful,PASS,True,3.3493161786907644,3.3493161786907644,0.0,5075.662939246673,5075.662939246673,5622.611,5617.1275,3.3493161786907644,0.0,0.01,True,True,False,True,False,False,False,0,[],0,0,0,0,0,0,False
full-mixed-02,JOIN_HARMFUL,dynamic-harmful,PASS,True,3.455456948439455,3.474839952734604,0.005609389607329041,4919.754537146671,4892.3116549933375,5636.3217,5630.7065,3.455456948439455,0.005609389607329041,0.01,True,False,False,True,False,False,False,77,"[2,3,5,6,8,9,10,11,13,14,15,16,17,18,20,21,22,23,25,26,27,28,30,31,32,33,34,35,36,37,40,41,42,44,45,46,47,48,49,50,51,52,55,56,57,58,59,60,62,63,64,65,66,67,68,69,70,71,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91]",1300192381440,0,0,0,0,0,False
full-mixed-03,JOIN_HARMFUL,dynamic-harmful,PASS,True,3.4229583409176167,3.4229583409176167,0.0,4966.464182980004,4966.464182980004,5667.6969,5662.0,3.4229583409176167,0.0,0.01,True,False,False,True,False,False,False,0,[],0,0,0,0,0,0,False
full-mixed-04,JOIN_HARMFUL,dynamic-harmful,PASS,True,0.8561132329118353,0.8561132329118353,0.0,19857.186346926497,19857.186346926497,6623.7803,6574.5522,0.8561132329118353,0.0,0.01,True,True,False,True,False,False,False,0,[],0,0,0,0,0,0,False
full-mixed-05,JOIN_HARMFUL,dynamic-harmful,PASS,True,0.7892649387810297,0.8161269891999543,0.03403426289328326,21539.02848675305,20830.0916707399,6610.9615,6560.5481,0.7892649387810297,0.03403426289328326,0.01,True,False,False,True,False,False,False,87,"[1,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92]",1467976266240,15,11,0,0,0,False
