inventory_id,family,cohort,u_strong_slo_target_rows_per_second,u_strong_slo_concurrency,flex_pool_slo_target_rows_per_second,flex_pool_slo_concurrency,flex_free_slo_concurrency,u_strong_slo_rows_per_second_per_abstract_cost,flex_pool_slo_rows_per_second_per_abstract_cost,efficiency_uplift_percent,throughput_uplift_percent,optionality_only_percent,flex_free_efficiency_uplift_percent,flex_free_throughput_uplift_percent,flex_free_optionality_only_percent,legacy_efficiency_uplift_percent,u_strong_abstract_node_cost,flex_pool_abstract_node_cost,flex_free_abstract_node_cost,flex_pool_replica_count,flex_pool_replica_checkpoint_bytes,flex_pool_replica_resident_bytes,flex_pool_replica_resident_gib,flex_pool_new_nodes_activated,flex_pool_selected_primary_count,flex_pool_selected_alternate_count,flex_pool_replica_selection_rate,flex_pool_actual_replica_used,flex_free_replica_count,flex_free_selected_primary_count,flex_free_selected_alternate_count,flex_free_replica_selection_rate,flex_free_actual_replica_used,u_strong_plan_sha256,flex_pool_plan_sha256
network-heterogeneous-02,network-heterogeneous,headline,45.868731664401565,8,46.65263337146418,8,8,0.932530112679295,0.9547698627268687,2.384882776994268,1.7090110814443893,1.0681319259027156,1.7090110814443893,1.7090110814443893,1.4419780999686882,-11.601406582744268,49.18740000000001,48.86270000000001,49.18740000000001,10,19652935680,21484475233,20.008976788260043,1,18531,8469,0.31366666666666665,True,2,4064,1336,0.2474074074074074,True,7ff471013bea41246a73321f6abe6336135c8794df6bdffd0807626da9418d19,92c498afbbd8a0041c0d501c5354c7411bf93a79bbd007ce4aeeab1e0f666b8d
network-heterogeneous-03,network-heterogeneous,headline,9.649118111206334,1,9.649118111206334,1,1,0.1920761469627564,0.1920761469627564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.2359,50.2359,50.2359,0,0,0,0.0,0,0,0,0.0,False,0,0,0,0.0,False,2240f51029174ce2fd35b67ec3e2139c8a34805ff77e787df02cbe52cf1dd03a,2240f51029174ce2fd35b67ec3e2139c8a34805ff77e787df02cbe52cf1dd03a
network-heterogeneous-04,network-heterogeneous,headline,65.60527922794304,8,66.07925669542635,8,8,1.3171106048573187,1.326626313901352,0.7224684858614605,0.7224684858614605,0.9907634206116844,0.7224684858614605,0.7224684858614605,0.9907634206116844,-0.45782273666331585,49.81,49.81,49.81,8,15722348544,17587754601,16.379872896708548,0,17287,4313,0.19967592592592592,True,8,17287,4313,0.19967592592592592,True,374cff4b48a74fd8f8271870f774dd58feea0d51e4f938fe89639c832e342a47,266f78da296beb0142009d62d625c0f9165a805c615d0f22d2c53727618d30f5
network-heterogeneous-05,network-heterogeneous,headline,65.70010468172879,8,66.11606710221054,8,8,1.322303515102389,1.3306753217139313,0.6331229189006748,0.6331229189006526,0.9196270081053282,0.6331229189006748,0.6331229189006526,0.9196270081053282,-0.3363699697984224,49.68609999999998,49.68609999999998,49.68609999999998,2,3930587136,4396938650,4.094968223944306,0,3916,1484,0.2748148148148148,True,2,3916,1484,0.2748148148148148,True,67ce128397acb3c2d21432e40a67ffaac5fe57c64dd567b7c7e9e5ad37677e94,99f507d0f7d43f7ffda6173b8a4e2aca12d8564ea4ee527d491bc0d1dd66d6f0
network-heterogeneous-06,network-heterogeneous,headline,52.70741024590837,8,52.80653813293675,8,8,1.0682404327064305,1.1167336652019122,4.5395428791833,0.1880720122007462,0.00782454756103057,0.6704367154329871,0.6704367154329871,0.4893645718270667,2.926473249100736,49.3404,47.28660000000001,49.3404,6,11791761408,12890879207,12.005566812120378,0,11174,5026,0.3102469135802469,True,4,7475,3325,0.30787037037037035,True,e6019b11e1b9763de3d3e44bde09534eec52a834d08efd541485a112e6772b22,5fcc2aa783b242f10a189c16e1257d83e8c2c98ddd95f02f8dab4cba079c70d8
full-mixed-01,full-mixed,headline,58.89366779358244,8,58.49228461908466,8,8,0.9051137168454154,0.9134609528901914,0.9222306423405602,-0.6815387622054692,0.6533258631027161,0.0,0.0,0.0,1.376808507233962,65.0677,64.03370000000001,65.0677,4,7861174272,8793877301,8.189936448819935,0,9262,1538,0.1424074074074074,True,0,0,0,0.0,False,fee53098e5a748f65ca4999d8a8883e30394b75cd372419a36ec17bbd91edafb,132f408ceec4361414882238f5d93ea132b1babef69d936a0764e737536c015c
full-mixed-02,full-mixed,headline,52.587657047494424,8,52.88604998362452,8,8,0.8559634786885777,0.874473358460397,2.162461393817683,0.5674200998545986,0.18560138777832247,2.162461393817683,0.5674200998545986,0.18560138777832247,1.2553856171514832,61.43680000000002,60.47760000000002,60.47760000000002,4,7861174272,8593596026,8.003409976139665,0,8257,2543,0.23546296296296296,True,4,8257,2543,0.23546296296296296,True,28a8970975a019c3fb7366973aa15c030be01171425fd6c4a19e84eef415fc1a,a34e4cfbff6163679dcbbb7598c1ef2e08db84fac299cc1f077335b22b0c34d4
full-mixed-03,full-mixed,headline,53.89671151172414,8,54.67739178439995,8,8,0.8893010312845843,0.9021823324274769,1.4484747784769603,1.4484747784769603,1.4484747784769603,1.4484747784769603,1.4484747784769603,1.4484747784769603,0.0,60.60570000000001,60.60570000000001,60.60570000000001,10,19652935680,21984693252,20.474841121584177,0,22036,4964,0.18385185185185185,True,10,22036,4964,0.18385185185185185,True,2db2cb446c340944e0561bce518001a5986aed8539bb976be47eaa24e121191c,6cbfcc2cec874f919e710d9c3ef4f85739a95b3c38707cd7f78009c1d9b39d22
coarse-friendly-01,coarse-friendly,negative_control,54.80144374589557,8,56.304082279405854,8,8,1.1676079102477386,1.2613741098638989,8.030623875806508,2.741968880377943,353.5376151792031,3.1462997448838292,3.1462997448838514,1.393756979922789,2.6444587829095756,46.93480000000001,44.63710000000001,46.93480000000001,12,23583522816,25781273245,24.010681775398552,0,24433,7967,0.24589506172839506,True,8,16478,5122,0.23712962962962963,True,dd704e9398787162aaf48db1bc0e2ec04acc504a82fb35e95fbf28b2c3ca034c,d907774cca446fdfaf132accdb9930b0f4721ed53bd59c298d0f58e7078404ea
coarse-friendly-02,coarse-friendly,negative_control,57.465823006659626,8,57.850355119400774,8,8,1.2044791984644685,1.2125389617586377,0.6691492310074043,0.6691492310074265,0.35549934037606423,0.6691492310074043,0.6691492310074265,0.35549934037606423,-0.37709086552237814,47.71009999999999,47.71009999999999,47.71009999999999,8,15722348544,17187192052,16.00681995227933,0,18062,3538,0.1637962962962963,True,8,18062,3538,0.1637962962962963,True,2f42bfe671cbaef77251af3aefa1fcae120c876075aec693d81f8cdc31e364cb,eaf243fb7246000d03f20744d56720e9d658d019aa074836f6d7911216dba8db
coarse-friendly-03,coarse-friendly,negative_control,56.952063438393914,8,57.7003631734304,8,8,1.170352889986579,1.2341346925148253,5.449792372365381,1.3139115421971104,1.9499089775619982,0.0,0.0,0.0,1.5105595803190042,48.66230000000001,46.7537,48.66230000000001,14,27514109952,30077586092,28.01193491742015,0,28863,8937,0.23642857142857143,True,0,0,0,0.0,False,6ec391eb8f3022dc97b417e315e2e326ed775f0379c5a6ca43dead1b534c15cf,b604d69a85e1db7273d231ac27db2c7bd9a1e3a9c1000e94fe096c7227efc2c8
memory-fragmented-02,memory-fragmented,capacity_exploratory,36.61888490218912,8,38.02390137475334,8,8,0.5529164877739999,0.5741311363180461,3.8368630730211573,3.8368630730211795,3.8368630730211573,3.8368630730211573,3.8368630730211795,3.8368630730211573,0.24422275461410958,66.22859999999999,66.22859999999999,66.22859999999999,16,31444697088,34374384104,32.01363990455866,0,36644,6556,0.15175925925925926,True,16,36644,6556,0.15175925925925926,True,4d6e142ab099cabe701f5796b01da0bda2b02e939d8c32977c858138e9980f4b,fb75567786c40178cea32e6a400e2c8cce18f86fe72d5ea131a52536568e2080
memory-fragmented-04,memory-fragmented,capacity_exploratory,32.977356051553805,8,34.137273817984976,8,8,0.4758891319096951,0.4926276557043446,3.51731583519872,3.517315835198742,1.9926464241747155,3.51731583519872,3.517315835198742,1.9926464241747155,-11.036689922871224,69.2963,69.2963,69.2963,18,35375284224,38771322755,36.10860812943429,0,38928,9672,0.19901234567901235,True,18,38928,9672,0.19901234567901235,True,0edfa33322cfd5d98b7c31ce141a8a657cdbb902c94811a82997a2e6e3811553,8e2b809a3d975844b660b54cc204d6b50fd8987f7a586e074dd3fef81b3a8c18
memory-fragmented-06,memory-fragmented,capacity_exploratory,39.12040769585103,8,39.12040769585103,8,8,0.5403460788832277,0.5403460788832277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.39880000000001,72.39880000000001,72.39880000000001,0,0,0,0.0,0,0,0,0.0,False,0,0,0,0.0,False,d06b4594a872a0c2d0ef262722db132c7ed21dc003aec7f41a36fad83c608c1f,d06b4594a872a0c2d0ef262722db132c7ed21dc003aec7f41a36fad83c608c1f
full-mixed-04,full-mixed,capacity_exploratory,24.416449471671612,8,25.126145239295756,8,8,0.2996615059587754,0.3239537607131397,8.106564997943444,2.906629681959072,7.846549809190129,2.906629681958939,2.906629681958939,2.906629681958939,-0.07037417472037788,81.4801,77.5609,81.4801,10,19652935680,21784411977,20.288314648903906,0,17952,9048,0.33511111111111114,True,2,3193,2207,0.4087037037037037,True,8ffc9f00e36f1a35f68b927a992bf4a393379576a0baf6e3e9375036b529a1a2,5d882050003d4ee3bf653dcfc588ab6dce55ae0e5ead8a4f55e3a1a63fbc9223
full-mixed-05,full-mixed,capacity_exploratory,49.52493185922716,8,49.52493185922716,8,8,0.6701297213153256,0.6701297213153256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.9035,73.9035,73.9035,0,0,0,0.0,0,0,0,0.0,False,0,0,0,0.0,False,e2ef2c05e45c83f7f61897210aee573bef885cf7e505ca1fa307a616271c9f37,e2ef2c05e45c83f7f61897210aee573bef885cf7e505ca1fa307a616271c9f37
full-mixed-06,full-mixed,capacity_exploratory,48.389292889325475,8,48.26169896683217,8,8,0.6637936090148507,0.6710105954603711,1.0872334935901673,-0.26368213890856085,0.7004924664950618,0.9717531952083691,0.9717531952083691,1.7047246465187849,0.38454911531780045,72.89809999999997,71.92389999999997,72.89809999999997,8,15722348544,17187192052,16.00681995227933,0,17460,4140,0.19166666666666668,True,8,17467,4133,0.1913425925925926,True,239b432ca09cf160c0e76c171517165d756ffad2c00a185ee8fe97cd274e85d8,0bb3d272dace8ce3c05cc866f01b356dad1af7a4e77ac64921a43195a9ea081d
