family,inventory_count,median_efficiency_uplift_percent,mean_efficiency_uplift_percent,cases_ge_20_percent,median_raw_throughput_uplift_percent,worst_efficiency_uplift_percent,worst_throughput_uplift_percent,replica_using_inventories,median_legacy_efficiency_uplift_percent,legacy_nonnegative_inventories
memory-fragmented,3,0.0,0.199952413772612,0,0.0,0.0,0.0,1,0.0,2
compute-heterogeneous,6,0.0,0.8006002812773491,0,0.0,0.0,0.0,2,0.0,4
network-heterogeneous,6,1.5536756314278644,4.17392623705161,0,0.6777957023810566,0.0,0.0,5,-0.3598884528239976,2
full-mixed,3,1.4484747784769603,1.5110556048784012,0,0.5674200998545986,0.9222306423405602,-0.6815387622054692,3,1.2553856171514832,3
