inventory_id,arm,primary_latency_budget_ms,c1_tps,c1_p95,c1_eligible,c8_tps,c8_p95,c8_eligible,c32_tps,c32_p95,c32_eligible,c64_tps,c64_p95,c64_eligible,c128_tps,c128_p95,c128_eligible,selected_slo_concurrency,selected_slo_tps,distance_to_budget_ms_at_next_higher_throughput_point,distance_to_budget_percent
coarse-friendly-01,FLEX_FREE,2505.026021200203,13.253736131171085,1282.6571943001181,True,56.525661430665345,2393.9964017992497,True,44.769271871844495,9435.758007099732,False,29.44767436215163,18920.54774266035,False,29.62930257356841,37146.00460400225,False,8,56.525661430665345,,
coarse-friendly-01,FLEX_FREE_NO_ALT,2505.026021200203,13.0665623031628,1301.030799500135,True,55.74866058258214,2470.254583199232,True,44.646265137919116,9395.364181999788,False,29.960889492528644,18652.934994479587,False,29.7667340713299,37094.34125519947,False,8,55.74866058258214,,
coarse-friendly-01,FLEX_POOL,2505.026021200203,12.596541790393886,1349.5767555003113,True,56.304082279405854,2430.3728945000275,True,45.155081002480564,9315.699555299743,False,29.860545960265178,18722.437947480947,False,29.651631109383572,37189.046593580926,False,8,56.304082279405854,,
coarse-friendly-01,FLEX_POOL_NO_ALT,2505.026021200203,12.414423940814439,1369.3748563003028,True,51.40838924514718,2636.726838199902,False,40.99277300003535,10205.438910478306,False,27.92496539339387,20065.62626125948,False,27.537468800300168,39911.19717089561,False,1,12.414423940814439,37406.17114969541,1493.2448139510118
coarse-friendly-01,U_STRONG,2505.026021200203,13.572713302081299,1252.5130106001016,True,54.80144374589557,2471.3608299992156,True,44.16236164545937,9517.477296957273,False,29.829261073231798,18755.13242405957,False,29.474927175589816,37399.28514226686,False,8,54.80144374589557,,
coarse-friendly-02,FLEX_FREE,2524.2467066001263,13.287621085234505,1279.386271700103,True,57.850355119400774,2334.417401400002,True,46.04888441175835,9097.922948699947,False,30.46895059617267,18241.87397440022,False,30.41988464795923,36237.3067009604,False,8,57.850355119400774,,
coarse-friendly-02,FLEX_FREE_NO_ALT,2524.2467066001263,13.287621085234505,1279.386271700103,True,57.645426010177616,2414.542337399831,True,45.83594885135115,9149.022393339963,False,30.42714810954569,18238.765635319935,False,30.499689146221886,36142.55474102139,False,8,57.645426010177616,,
coarse-friendly-02,FLEX_POOL,2524.2467066001263,13.287621085234505,1279.386271700103,True,57.850355119400774,2334.417401400002,True,46.04888441175835,9097.922948699947,False,30.46895059617267,18241.87397440022,False,30.41988464795923,36237.3067009604,False,8,57.850355119400774,,
coarse-friendly-02,FLEX_POOL_NO_ALT,2524.2467066001263,13.287621085234505,1279.386271700103,True,57.645426010177616,2414.542337399831,True,45.83594885135115,9149.022393339963,False,30.42714810954569,18238.765635319935,False,30.499689146221886,36142.55474102139,False,8,57.645426010177616,,
coarse-friendly-02,U_STRONG,2524.2467066001263,13.469364904430092,1262.1233533000632,True,57.465823006659626,2328.4567569000246,True,46.15298399208389,9082.816962019828,False,30.769882116290788,18037.63207757988,False,30.634021090610823,35974.51892838256,False,8,57.465823006659626,,
coarse-friendly-03,FLEX_FREE,2502.8939372001623,13.584275184284039,1251.4469686000812,True,56.952063438393914,2376.486477199298,True,45.45411021697381,9181.511484717723,False,30.30055049326327,18384.768563920512,False,30.334191645401894,36289.64671216415,False,8,56.952063438393914,,
coarse-friendly-03,FLEX_FREE_NO_ALT,2502.8939372001623,13.584275184284039,1251.4469686000812,True,56.952063438393914,2376.486477199298,True,45.45411021697381,9181.511484717723,False,30.30055049326327,18384.768563920512,False,30.334191645401894,36289.64671216415,False,8,56.952063438393914,,
coarse-friendly-03,FLEX_POOL,2502.8939372001623,12.787563620306514,1329.416650800209,True,57.7003631734304,2344.814898999881,True,46.07145719561977,9027.718299160046,False,30.670137576110747,18260.788512460545,False,30.52365217891797,35948.47365042563,False,8,57.7003631734304,,
coarse-friendly-03,FLEX_POOL_NO_ALT,2502.8939372001623,12.239891260610177,1388.9012278002192,True,56.596777527412584,2416.3593633000073,True,44.877214353197104,9364.978570379753,False,30.151225316730418,18586.200500080067,False,29.94996622475385,36808.8880286255,False,8,56.596777527412584,,
coarse-friendly-03,U_STRONG,2502.8939372001623,13.584275184284039,1251.4469686000812,True,56.952063438393914,2376.486477199298,True,45.45411021697381,9181.511484717723,False,30.30055049326327,18384.768563920512,False,30.334191645401894,36289.64671216415,False,8,56.952063438393914,,
compute-heterogeneous-01,FLEX_FREE,3501.0005548805493,9.711509457664246,1750.5002774402747,True,51.049132493396215,2735.919188527332,True,44.235714016069934,9641.4736680816,False,29.604412116563513,19124.23854515675,False,29.498724069927484,37699.32844788687,False,8,51.049132493396215,,
compute-heterogeneous-01,FLEX_FREE_NO_ALT,3501.0005548805493,9.711509457664246,1750.5002774402747,True,51.049132493396215,2735.919188527332,True,44.235714016069934,9641.4736680816,False,29.604412116563513,19124.23854515675,False,29.498724069927484,37699.32844788687,False,8,51.049132493396215,,
compute-heterogeneous-01,FLEX_POOL,3501.0005548805493,9.711509457664246,1750.5002774402747,True,51.049132493396215,2735.919188527332,True,44.235714016069934,9641.4736680816,False,29.604412116563513,19124.23854515675,False,29.498724069927484,37699.32844788687,False,8,51.049132493396215,,
compute-heterogeneous-01,FLEX_POOL_NO_ALT,3501.0005548805493,9.711509457664246,1750.5002774402747,True,51.049132493396215,2735.919188527332,True,44.235714016069934,9641.4736680816,False,29.604412116563513,19124.23854515675,False,29.498724069927484,37699.32844788687,False,8,51.049132493396215,,
compute-heterogeneous-01,U_STRONG,3501.0005548805493,9.711509457664246,1750.5002774402747,True,51.049132493396215,2735.919188527332,True,44.235714016069934,9641.4736680816,False,29.604412116563513,19124.23854515675,False,29.498724069927484,37699.32844788687,False,8,51.049132493396215,,
compute-heterogeneous-02,FLEX_FREE,3445.4721262271923,9.82363936549213,1730.5195526335738,True,54.72255106124353,2503.024717886645,True,44.561497928237856,9453.298708944329,False,29.951536425158302,18684.44859479414,False,29.685705249753074,37358.22468143449,False,8,54.72255106124353,,
