inventory_id,cohort,family,run1_u_strong_hash,run2_u_strong_hash,run1_flex_free_replica_count,run2_flex_free_replica_count,run1_flex_pool_replica_count,run2_flex_pool_replica_count,run1_flex_free_efficiency_uplift,run2_flex_free_efficiency_uplift,run1_flex_pool_efficiency_uplift,run2_flex_pool_efficiency_uplift,run1_flex_pool_raw_throughput_uplift,run2_flex_pool_raw_throughput_uplift,run1_flex_pool_slo_concurrency,run2_flex_pool_slo_concurrency,run1_flex_pool_actual_replica_used,run2_flex_pool_actual_replica_used,run2_flex_pool_envelope_source
full-mixed-03,headline,full-mixed,2db2cb446c340944e0561bce518001a5986aed8539bb976be47eaa24e121191c,2db2cb446c340944e0561bce518001a5986aed8539bb976be47eaa24e121191c,0,10,0,10,0.0,1.4484747784769603,0.0,1.4484747784769603,0.0,1.4484747784769603,8,8,False,True,FLEX_FREE
coarse-friendly-01,negative_control,coarse-friendly,dd704e9398787162aaf48db1bc0e2ec04acc504a82fb35e95fbf28b2c3ca034c,dd704e9398787162aaf48db1bc0e2ec04acc504a82fb35e95fbf28b2c3ca034c,2,8,4,12,2.4652043310867677,3.1462997448838292,3.7141641774716794,8.030623875806508,1.1477607779533106,2.741968880377943,8,8,True,True,POOL-U
coarse-friendly-02,negative_control,coarse-friendly,2f42bfe671cbaef77251af3aefa1fcae120c876075aec693d81f8cdc31e364cb,2f42bfe671cbaef77251af3aefa1fcae120c876075aec693d81f8cdc31e364cb,0,8,0,8,0.0,0.6691492310074043,0.0,0.6691492310074043,0.0,0.6691492310074265,8,8,False,True,FLEX_FREE
coarse-friendly-03,negative_control,coarse-friendly,6ec391eb8f3022dc97b417e315e2e326ed775f0379c5a6ca43dead1b534c15cf,6ec391eb8f3022dc97b417e315e2e326ed775f0379c5a6ca43dead1b534c15cf,20,0,10,14,-0.06278391390621696,0.0,-77.0887932221718,5.449792372365381,-77.58903996762861,1.3139115421971104,1,8,True,True,POOL-U
memory-fragmented-02,capacity_exploratory,memory-fragmented,4d6e142ab099cabe701f5796b01da0bda2b02e939d8c32977c858138e9980f4b,4d6e142ab099cabe701f5796b01da0bda2b02e939d8c32977c858138e9980f4b,4,16,4,16,-2.255411193148249,3.8368630730211573,-2.255411193148249,3.8368630730211573,-2.255411193148238,3.8368630730211795,8,8,True,True,FLEX_FREE
memory-fragmented-04,capacity_exploratory,memory-fragmented,0edfa33322cfd5d98b7c31ce141a8a657cdbb902c94811a82997a2e6e3811553,0edfa33322cfd5d98b7c31ce141a8a657cdbb902c94811a82997a2e6e3811553,8,18,8,18,2.962853121239739,3.51731583519872,2.962853121239739,3.51731583519872,2.962853121239739,3.517315835198742,8,8,True,True,FLEX_FREE
memory-fragmented-06,capacity_exploratory,memory-fragmented,d06b4594a872a0c2d0ef262722db132c7ed21dc003aec7f41a36fad83c608c1f,d06b4594a872a0c2d0ef262722db132c7ed21dc003aec7f41a36fad83c608c1f,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,False,False,U_STRONG
full-mixed-04,capacity_exploratory,full-mixed,8ffc9f00e36f1a35f68b927a992bf4a393379576a0baf6e3e9375036b529a1a2,8ffc9f00e36f1a35f68b927a992bf4a393379576a0baf6e3e9375036b529a1a2,2,2,6,10,2.906629681958939,2.906629681958939,5.728385511080436,8.106564997943444,2.9066296819590276,2.906629681959072,8,8,True,True,POOL-U
full-mixed-05,capacity_exploratory,full-mixed,e2ef2c05e45c83f7f61897210aee573bef885cf7e505ca1fa307a616271c9f37,e2ef2c05e45c83f7f61897210aee573bef885cf7e505ca1fa307a616271c9f37,4,0,0,0,-1.782946241755956,0.0,0.0,0.0,0.0,0.0,8,8,False,False,U_STRONG
full-mixed-06,capacity_exploratory,full-mixed,239b432ca09cf160c0e76c171517165d756ffad2c00a185ee8fe97cd274e85d8,239b432ca09cf160c0e76c171517165d756ffad2c00a185ee8fe97cd274e85d8,8,8,0,8,-0.24667059137412073,0.9717531952083691,0.0,1.0872334935901673,0.0,-0.26368213890856085,8,8,False,True,POOL-U
