evidence_class,layer,attention_type,candidate_type,worker_id,partition_degree,chunk_rows,direct_native_service_ms,cuda_wall_ms,host_wall_ms,host_minus_cuda_ms,physical_launches,resident_weight_bytes,persistent_state_bytes,resident_bytes,worker_protocol_overhead_ms,protocol_p90_ms,checkpoint_reads_in_timed_region,state_mutated,complete_dag_correctness,relative_l2,routes_exact,state_exact,no_nan_inf,production_native_binding,service_source
PHYSICAL,45,KDA,KDA_SHARD,kda.layer-45.p8.worker-00,8,2,0.3988,0.38464000821113586,0.3988,0.014159991788864124,8,32102448,860160,32962608,0.152,0.1567,0,True,PASS,6.136162968057547e-08,True,True,True,True,resident ordered K3 shard DAG operation record
PHYSICAL,45,KDA,KDA_SHARD,kda.layer-45.p8.worker-01,8,2,0.3985,0.3840639889240265,0.3985,0.014436011075973532,8,32102448,860160,32962608,0.152,0.1567,0,True,PASS,6.136162968057547e-08,True,True,True,True,resident ordered K3 shard DAG operation record
PHYSICAL,45,KDA,KDA_SHARD,kda.layer-45.p8.worker-02,8,2,0.3998,0.3853119909763336,0.3998,0.01448800902366637,8,32102448,860160,32962608,0.152,0.1567,0,True,PASS,6.136162968057547e-08,True,True,True,True,resident ordered K3 shard DAG operation record
PHYSICAL,45,KDA,KDA_SHARD,kda.layer-45.p8.worker-03,8,2,0.3983,0.38387200236320496,0.3983,0.014427997636795031,8,32102448,860160,32962608,0.152,0.1567,0,True,PASS,6.136162968057547e-08,True,True,True,True,resident ordered K3 shard DAG operation record
PHYSICAL,45,KDA,KDA_SHARD,kda.layer-45.p8.worker-04,8,2,0.3994,0.38464000821113586,0.3994,0.014759991788864113,8,32102448,860160,32962608,0.152,0.1567,0,True,PASS,6.136162968057547e-08,True,True,True,True,resident ordered K3 shard DAG operation record
PHYSICAL,45,KDA,KDA_SHARD,kda.layer-45.p8.worker-05,8,2,0.3986,0.384223997592926,0.3986,0.014376002407073984,8,32102448,860160,32962608,0.152,0.1567,0,True,PASS,6.136162968057547e-08,True,True,True,True,resident ordered K3 shard DAG operation record
PHYSICAL,45,KDA,KDA_SHARD,kda.layer-45.p8.worker-06,8,2,0.3985,0.38473600149154663,0.3985,0.01376399850845339,8,32102448,860160,32962608,0.152,0.1567,0,True,PASS,6.136162968057547e-08,True,True,True,True,resident ordered K3 shard DAG operation record
PHYSICAL,45,KDA,KDA_SHARD,kda.layer-45.p8.worker-07,8,2,0.3992,0.38416001200675964,0.3992,0.015039987993240356,8,32102448,860160,32962608,0.152,0.1567,0,True,PASS,6.136162968057547e-08,True,True,True,True,resident ordered K3 shard DAG operation record
PHYSICAL,45,KDA,REDUCTION_CONTRIBUTION,layer-45.attention.reducer,8,2,0.1193,0.10847999900579453,0.1193,0.010820000994205478,8,0,0,0,0.152,0.1567,0,False,PASS,6.136162968057547e-08,True,True,True,True,resident ordered K3 shard DAG operation record
PHYSICAL,45,KDA,PROJECTION_SHARD,latent-down.layer-45.worker-00,8,2,0.049,0.039872001856565475,0.049,0.009127998143434526,1,1806336,0,1806336,0.152,0.1567,0,False,PASS,6.136162968057547e-08,True,True,True,True,resident ordered K3 shard DAG operation record
PHYSICAL,45,KDA,PROJECTION_SHARD,latent-down.layer-45.worker-01,8,2,0.0549,0.0451200008392334,0.0549,0.009779999160766599,1,1806336,0,1806336,0.152,0.1567,0,False,PASS,6.136162968057547e-08,True,True,True,True,resident ordered K3 shard DAG operation record
PHYSICAL,45,KDA,PROJECTION_SHARD,latent-down.layer-45.worker-02,8,2,0.0485,0.03907199949026108,0.0485,0.009428000509738924,1,1806336,0,1806336,0.152,0.1567,0,False,PASS,6.136162968057547e-08,True,True,True,True,resident ordered K3 shard DAG operation record
