layer,layer_type,operation,degree,rows,p50_ms,source_layer,measurement_kind,candidate_id,evidence_class
1,KDA,routed_norm,1,2,0.1233,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,routed_shared_reduction,2,2,1.2424,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,router,1,2,0.6437,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,shared_expert,8,2,0.12365000000000001,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,shared_reduction,8,2,1.46,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,worker_protocol,1,2,0.4718,45,FROZEN_PHYSICAL_AUTHENTICATED_FRAME,layer-01:FULL_MIXED_STRIPE:p8,PHYSICAL_INHERITED_E022
1,KDA,whole_layer,1,2,5.8731,45,PHYSICAL_TYPE_CONDITIONED,layer-01:WHOLE_LAYER:p1,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,attention_common,1,4,0.0511,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,attention_preprocess,1,4,0.9714,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,attention_reduction,8,4,1.6047500000000001,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,attention_shard,8,4,0.6811,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,expert_reduction,8,4,1.466,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,expert_stripe,8,4,0.6790499999999999,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,latent_down,8,4,0.0902,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
