inventory_id,scenario,changed_capability,status,feasible,before_tok_s,after_tok_s,throughput_change,before_critical_path_ms,after_critical_path_ms,replanning_ms,optimizer_reported_ms,old_placement_changed_conditions_tok_s,improvement_vs_no_replan,replan_threshold,improvement_over_threshold_triggered_new_plan,fallback_retained,changed_resource_used_after,harmful_join_ignored,beneficial_join_non_regression,beneficial_join_admitted_and_improved,manual_topology_supplied,placement_changes,changed_layers,migration_bytes,granularity_changes,nodes_added,nodes_removed,endpoint_nodes_added,endpoint_nodes_removed,wavefront_chunk_changed
full-mixed-01,SLOWDOWN,mixed-small-062,PASS,True,3.2050687248254857,3.171151899733684,-0.010582245812419622,5304.098432686695,5360.828032686695,9612.7483,9594.1024,3.171151899733684,0.0,0.01,True,True,True,False,False,False,False,0,[],0,0,0,0,0,0,False
full-mixed-02,SLOWDOWN,mixed-small-063,PASS,True,3.367197960109993,3.320558808814029,-0.013851027426507456,5048.708214186694,5119.620214186696,10118.0911,10099.8419,3.320558808814029,0.0,0.01,True,True,True,False,False,False,False,0,[],0,0,0,0,0,0,False
full-mixed-03,SLOWDOWN,mixed-small-064,PASS,True,3.300985197716207,3.241474406634225,-0.018028190833195623,5149.977652660025,5244.526985993358,10010.5779,9991.8343,3.241474406634225,0.0,0.01,True,True,True,False,False,False,False,0,[],0,0,0,0,0,0,False
full-mixed-04,SLOWDOWN,mixed-small-058,PASS,True,2.013231280621227,1.926488801049083,-0.04308619700433902,8444.136629326698,8824.344055746667,11436.3368,11369.2533,1.926488801049083,0.0,0.01,True,True,True,False,False,False,False,0,[],0,0,0,0,0,0,False
full-mixed-05,SLOWDOWN,mixed-small-057,PASS,True,2.500506919817702,2.4003605202720966,-0.04005043887377313,6798.621457620032,7082.269457620033,11162.8535,11107.0049,2.4003605202720966,0.0,0.01,True,True,True,False,False,False,False,0,[],0,0,0,0,0,0,False
