chunk_rows,max_stage_time_ms,mean_stage_time_ms,median_stage_time_ms,coefficient_of_variation,max_over_mean,slowest_microcell,steady_state_ceiling_rows_per_second,service_ms_by_microcell
1,119.14259886722485,81.62819645277446,80.87808105547484,0.21062351313623492,1.4595765194463672,9,8.393303566547361,"[103.95777939763404,83.34644035976599,87.2991582976365,86.49660611895357,71.61101170803586,78.40972175118368,72.27478328251246,84.73116727590403,72.38827106661778,119.14259886722485,73.1397977299665,46.74102157785829]"
2,157.14308163087708,102.17315100194266,99.57695298735842,0.1888946401053263,1.5380075889789213,0,12.727254545624358,"[157.14308163087708,97.25903097827667,111.17360103488224,101.85088748322104,96.39115734246336,100.48111632157752,96.77582814556462,99.56155735773174,98.95123061181637,99.59234861698512,100.06873338514824,66.82923911476792]"
4,262.46364981050885,153.93860706386263,147.92137143441497,0.23048024135118783,1.7049891175228302,0,15.24020565471784,"[262.46364981050885,138.4675946125386,161.2403352737508,147.50220186651512,140.51424097441966,150.59660326435537,147.23401440727866,148.04330553112072,148.6258420189837,147.7994373377092,152.3595248582785,102.4165348108925]"
8,433.55431308515927,235.982629766703,223.75025224785173,0.2663176980791632,1.8372297720123698,0,18.452128738086454,"[433.55431308515927,210.47461574089394,245.29851845217414,226.22182106579046,211.25634185425884,230.08025828495408,222.2005074413667,225.29999705433676,226.1637661094601,221.45405777716093,221.69393763144254,158.09342270343834]"
