scenario,network_stress_percent,layer,layer_type,rows,concurrency,arm,status,warmup_blocks_per_stream,measured_blocks_per_stream,measured_blocks,measured_rows,measurement_window_ms,aggregate_blocks_per_second,aggregate_rows_per_second,p50_block_latency_ms,p95_block_latency_ms,total_network_bytes,moe_network_bytes,moe_network_bytes_per_row,moe_network_messages,moe_network_messages_per_block,worker_compute_ms,compute_queue_wait_ms,network_queue_wait_ms,task_count_simulated,task_graph_replication_factor,evidence_class
COMMODITY_GOOD,10.0,89,KDA,2,1,A_CURRENT,PASS,2,256,256,512,5785.182691555563,44.25097938111352,88.50195876222703,22.598369888888918,22.598369888888918,721616896,514260992,1004416.0,10752,42.0,7183.319466666669,0.0,0.0,348,256,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,2,1,B_RETAIN_HIDDEN,PASS,2,256,256,512,4847.001600000003,52.81615751890815,105.6323150378163,18.933600000000013,18.933600000000013,618856448,411500544,803712.0,10752,42.0,7183.319466666669,196.4416000000001,998.6322204444423,348,256,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,2,1,C_SLICE_LATENT,PASS,2,256,256,512,4841.292686222227,52.87843900215889,105.75687800431778,18.911299555555573,18.911299555555573,573898752,366542848,715904.0,10752,42.0,7183.319466666669,196.4416000000001,998.6322204444423,348,256,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,2,1,D_FUSE_OUTPUT,PASS,2,256,256,512,4529.382286222226,56.51984836402917,113.03969672805835,17.69289955555557,17.69289955555557,471138304,263782400,515200.0,8960,35.0,6523.044266666668,196.4416000000001,998.6322204444423,345,256,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,2,8,A_CURRENT,PASS,2,32,256,512,2643.119905111095,96.85523517301039,193.71047034602077,82.55919999999969,82.75709999999957,721616896,514260992,1004416.0,10752,42.0,7183.31946666667,18879.776546889283,5164.544902888423,31552,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,2,8,B_RETAIN_HIDDEN,PASS,2,32,256,512,2642.9962551110966,96.8597664506487,193.7195329012974,82.55919999999969,85.31274999999906,618856448,411500544,803712.0,10752,42.0,7183.31946666667,22079.810622333374,3492.480527555569,31552,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,2,8,C_SLICE_LATENT,PASS,2,32,256,512,2642.9962551110966,96.8597664506487,193.7195329012974,82.55919999999969,85.31274999999906,573898752,366542848,715904.0,10752,42.0,7183.31946666667,22086.23778166672,3477.656636888838,31552,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,2,8,D_FUSE_OUTPUT,PASS,2,32,256,512,1953.639455111088,131.0374845933091,262.0749691866182,61.01679999999942,62.55589999999853,471138304,263782400,515200.0,8960,35.0,6523.044266666651,14986.178392888665,4510.85799611139,31280,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,2,32,A_CURRENT,PASS,2,8,256,512,2641.894400000002,96.90016376127669,193.80032752255337,330.23679999999877,331.92196249999813,721616896,514260992,1004416.0,10752,42.0,7183.31946666667,85461.5822873337,18819.69060910752,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,2,32,B_RETAIN_HIDDEN,PASS,2,8,256,512,2641.8944000000024,96.90016376127667,193.80032752255335,330.23679999999877,337.7308749999996,618856448,411500544,803712.0,10752,42.0,7183.31946666667,97419.5829146676,27138.21880810975,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
