inventory_id,family,cohort,u_strong_slo_target_rows_per_second,flex_pool_slo_target_rows_per_second,u_strong_slo_rows_per_second_per_abstract_cost,flex_pool_slo_rows_per_second_per_abstract_cost,efficiency_uplift_percent,throughput_uplift_percent,optionality_only_percent,flex_free_efficiency_uplift_percent,flex_free_throughput_uplift_percent,flex_free_optionality_only_percent,legacy_efficiency_uplift_percent,u_strong_abstract_node_cost,flex_pool_abstract_node_cost,flex_free_abstract_node_cost,flex_pool_replica_count,flex_pool_replica_checkpoint_bytes,flex_pool_replica_resident_bytes,flex_pool_replica_resident_gib,flex_pool_new_nodes_activated,flex_pool_selected_primary_count,flex_pool_selected_alternate_count,flex_pool_replica_selection_rate,flex_pool_actual_replica_used,flex_free_replica_count,flex_free_selected_primary_count,flex_free_selected_alternate_count,flex_free_replica_selection_rate,flex_free_actual_replica_used,u_strong_plan_sha256,flex_pool_plan_sha256
network-heterogeneous-02,network-heterogeneous,headline,45.868731664401565,45.868731664401565,0.932530112679295,0.932530112679295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.18740000000001,49.18740000000001,49.18740000000001,0,0,0,0.0,0,0,0,0.0,False,0,0,0,0.0,False,7ff471013bea41246a73321f6abe6336135c8794df6bdffd0807626da9418d19,7ff471013bea41246a73321f6abe6336135c8794df6bdffd0807626da9418d19
network-heterogeneous-03,network-heterogeneous,headline,9.649118111206334,9.649118111206334,0.1920761469627564,0.1920761469627564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.2359,50.2359,50.2359,0,0,0,0.0,0,0,0,0.0,False,0,0,0,0.0,False,2240f51029174ce2fd35b67ec3e2139c8a34805ff77e787df02cbe52cf1dd03a,2240f51029174ce2fd35b67ec3e2139c8a34805ff77e787df02cbe52cf1dd03a
network-heterogeneous-04,network-heterogeneous,headline,65.60527922794304,65.60527922794304,1.3171106048573187,1.3171106048573187,0.0,0.0,0.0,0.7160964809105552,0.7160964809105552,0.5294095540332222,0.0,49.81,49.81,49.81,0,0,0,0.0,0,0,0,0.0,False,4,8360,2440,0.22592592592592592,True,374cff4b48a74fd8f8271870f774dd58feea0d51e4f938fe89639c832e342a47,374cff4b48a74fd8f8271870f774dd58feea0d51e4f938fe89639c832e342a47
network-heterogeneous-05,network-heterogeneous,headline,65.70010468172879,65.70010468172879,1.322303515102389,1.322303515102389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.68609999999998,49.68609999999998,49.68609999999998,0,0,0,0.0,0,0,0,0.0,False,0,0,0,0.0,False,67ce128397acb3c2d21432e40a67ffaac5fe57c64dd567b7c7e9e5ad37677e94,67ce128397acb3c2d21432e40a67ffaac5fe57c64dd567b7c7e9e5ad37677e94
network-heterogeneous-06,network-heterogeneous,headline,52.70741024590837,52.70741024590837,1.0682404327064305,1.0682404327064305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.3404,49.3404,49.3404,0,0,0,0.0,0,0,0,0.0,False,0,0,0,0.0,False,e6019b11e1b9763de3d3e44bde09534eec52a834d08efd541485a112e6772b22,e6019b11e1b9763de3d3e44bde09534eec52a834d08efd541485a112e6772b22
full-mixed-01,full-mixed,headline,58.89366779358244,58.89366779358244,0.9051137168454154,0.9051137168454154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0677,65.0677,65.0677,0,0,0,0.0,0,0,0,0.0,False,0,0,0,0.0,False,fee53098e5a748f65ca4999d8a8883e30394b75cd372419a36ec17bbd91edafb,fee53098e5a748f65ca4999d8a8883e30394b75cd372419a36ec17bbd91edafb
full-mixed-02,full-mixed,headline,52.587657047494424,52.587657047494424,0.8559634786885777,0.8559634786885777,0.0,0.0,0.0,1.8022421003416556,0.09202779764747593,0.7316291960848043,0.0,61.43680000000002,61.43680000000002,60.40470000000002,0,0,0,0.0,0,0,0,0.0,False,2,4648,752,0.13925925925925925,True,28a8970975a019c3fb7366973aa15c030be01171425fd6c4a19e84eef415fc1a,28a8970975a019c3fb7366973aa15c030be01171425fd6c4a19e84eef415fc1a
full-mixed-03,full-mixed,headline,53.89671151172414,53.89671151172414,0.8893010312845843,0.8893010312845843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.60570000000001,60.60570000000001,60.60570000000001,0,0,0,0.0,0,0,0,0.0,False,0,0,0,0.0,False,2db2cb446c340944e0561bce518001a5986aed8539bb976be47eaa24e121191c,2db2cb446c340944e0561bce518001a5986aed8539bb976be47eaa24e121191c
coarse-friendly-01,coarse-friendly,negative_control,54.80144374589557,55.43043322296311,1.1676079102477386,1.2109747849834858,3.7141641774716794,1.1477607779533106,-0.5770656189237777,2.4652043310867677,2.46520433108679,0.7242339525579178,2.2302869669759584,46.93480000000001,45.77340000000002,46.93480000000001,4,7861174272,8593596026,8.003409976139665,0,7458,3342,0.30944444444444447,True,2,3731,1669,0.30907407407407406,True,dd704e9398787162aaf48db1bc0e2ec04acc504a82fb35e95fbf28b2c3ca034c,cdb5efe9aa3a6bb09d5cf57a6e76f1b77f1dcbe8599504f8dc5cd809cc0c3573
coarse-friendly-02,coarse-friendly,negative_control,57.465823006659626,57.465823006659626,1.2044791984644685,1.2044791984644685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.71009999999999,47.71009999999999,47.71009999999999,0,0,0,0.0,0,0,0,0.0,False,0,0,0,0.0,False,2f42bfe671cbaef77251af3aefa1fcae120c876075aec693d81f8cdc31e364cb,2f42bfe671cbaef77251af3aefa1fcae120c876075aec693d81f8cdc31e364cb
coarse-friendly-03,coarse-friendly,negative_control,56.952063438393914,12.763504174789258,1.170352889986579,0.26814197065511325,-77.0887932221718,-77.58903996762861,-77.45070844738026,-0.06278391390621696,-0.06278391390621696,0.17901536812936492,-1.5980116083285867,48.66230000000001,47.599799999999995,48.66230000000001,10,19652935680,21784411975,20.28831464704126,0,19528,7472,0.27674074074074073,True,20,43801,10199,0.18887037037037038,True,6ec391eb8f3022dc97b417e315e2e326ed775f0379c5a6ca43dead1b534c15cf,39c93b18753fda4257de081cd30bb238ba557353efb70a627e007356df6cc950
memory-fragmented-02,memory-fragmented,capacity_exploratory,36.61888490218912,35.79297847329908,0.5529164877739999,0.540445947419983,-2.255411193148249,-2.255411193148238,1.409835652247815,-2.255411193148249,-2.255411193148238,1.409835652247815,2.5628260976578776,66.22859999999999,66.22859999999999,66.22859999999999,4,7861174272,8593596026,8.003409976139665,0,8900,1900,0.17592592592592593,True,4,8900,1900,0.17592592592592593,True,4d6e142ab099cabe701f5796b01da0bda2b02e939d8c32977c858138e9980f4b,fea6903d97865f03382030fa8c3cfbaf78eb7f49a897101a9dfdf1a56bf99e55
memory-fragmented-04,memory-fragmented,capacity_exploratory,32.977356051553805,33.95442667462961,0.4758891319096951,0.4899890279081222,2.962853121239739,2.962853121239739,1.6202578811848944,2.962853121239739,2.962853121239739,1.6202578811848944,-12.971474359348978,69.2963,69.2963,69.2963,8,15722348544,17387473327,16.1933464249596,0,16306,5294,0.24509259259259258,True,8,16306,5294,0.24509259259259258,True,0edfa33322cfd5d98b7c31ce141a8a657cdbb902c94811a82997a2e6e3811553,31bd6a281a2e13c9bd73c4f9a6c902b4645f89bd007128ef1abbc5e5dfba33bc
memory-fragmented-06,memory-fragmented,capacity_exploratory,39.12040769585103,39.12040769585103,0.5403460788832277,0.5403460788832277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.39880000000001,72.39880000000001,72.39880000000001,0,0,0,0.0,0,0,0,0.0,False,0,0,0,0.0,False,d06b4594a872a0c2d0ef262722db132c7ed21dc003aec7f41a36fad83c608c1f,d06b4594a872a0c2d0ef262722db132c7ed21dc003aec7f41a36fad83c608c1f
full-mixed-04,full-mixed,capacity_exploratory,24.416449471671612,25.12614523929575,0.2996615059587754,0.31682727224840335,5.728385511080436,2.9066296819590276,4.504491982858205,2.906629681958939,2.906629681958939,2.906629681958939,-0.7283980506322618,81.4801,79.3055,81.4801,6,11791761408,13090675315,12.19164143782109,0,10613,5587,0.34487654320987654,True,2,3193,2207,0.4087037037037037,True,8ffc9f00e36f1a35f68b927a992bf4a393379576a0baf6e3e9375036b529a1a2,4fe76d6273f858cc70656285b331e014ba3882df9f69528161453e92173aa8e2
full-mixed-05,full-mixed,capacity_exploratory,49.52493185922716,49.52493185922716,0.6701297213153256,0.6701297213153256,0.0,0.0,0.0,-1.782946241755956,-1.782946241755956,0.4264284777942162,0.0,73.9035,73.9035,73.9035,0,0,0,0.0,0,0,0,0.0,False,4,9034,1766,0.1635185185185185,True,e2ef2c05e45c83f7f61897210aee573bef885cf7e505ca1fa307a616271c9f37,e2ef2c05e45c83f7f61897210aee573bef885cf7e505ca1fa307a616271c9f37
full-mixed-06,full-mixed,capacity_exploratory,48.389292889325475,48.389292889325475,0.6637936090148507,0.6637936090148507,0.0,0.0,0.0,-0.24667059137412073,-0.24667059137412073,1.470480094952853,0.0,72.89809999999997,72.89809999999997,72.89809999999997,0,0,0,0.0,0,0,0,0.0,False,8,17611,3989,0.18467592592592594,True,239b432ca09cf160c0e76c171517165d756ffad2c00a185ee8fe97cd274e85d8,239b432ca09cf160c0e76c171517165d756ffad2c00a185ee8fe97cd274e85d8
