component,start_ms,delta_ms,finish_ms,e018_target_pass_ms,e019_target_pass_ms
worker shard compute,2536.463584714586,-2165.6878291146463,370.77575559993966,2536.463584714586,814.0364457599978
attention reduction,370.77575559993966,100.63128000000123,471.40703559994085,2536.463584714586,814.0364457599978
expert fanout/reduction,471.40703559994085,96.41311487999808,567.8201504799389,2536.463584714586,814.0364457599978
repartition/all-gather,567.8201504799389,46.9977459199949,614.8178963999338,2536.463584714586,814.0364457599978
memory placement/inter-pod,614.8178963999338,116.0551296000001,730.8730259999339,2536.463584714586,814.0364457599978
worker software overhead,730.8730259999339,86.86699999999945,817.7400259999333,2536.463584714586,814.0364457599978
load imbalance and other,817.7400259999333,-3.7035802399359454,814.0364457599974,2536.463584714586,814.0364457599978
