worker_id,utilization,idle_ms,busy_ms
pod-000.worker-00,0.061836297701639995,763.6994457599977,50.337000000000145
pod-000.worker-01,0.03773246291365182,783.3208457599977,30.715600000000062
pod-000.worker-02,0.03684282215644477,784.0450457599978,29.9914
pod-000.worker-03,0.036230933091041854,784.5431457599979,29.493300000000005
pod-000.worker-04,0.03710177862098392,783.8342457599978,30.202200000000023
pod-000.worker-05,0.040873354225481114,780.7640457599978,33.27240000000003
pod-000.worker-06,0.036636074656530515,784.2133457599978,29.823100000000032
pod-000.worker-07,0.03708298339371903,783.8495457599978,30.186900000000062
pod-001.worker-00,0.06834571141106292,758.4005457599976,55.63590000000019
pod-001.worker-01,0.04539256220340583,777.0852457599977,36.9512000000001
pod-001.worker-02,0.04280508591659952,779.1915457599978,34.84490000000001
pod-001.worker-03,0.04174002303825312,780.0585457599979,33.97789999999999
pod-001.worker-04,0.043379384527472586,778.7240457599978,35.312400000000025
pod-001.worker-05,0.05127337997874577,772.2980457599978,41.73840000000004
pod-001.worker-06,0.04280090919942956,779.1949457599978,34.84150000000003
pod-001.worker-07,0.043450388719362375,778.6662457599978,35.370200000000054
pod-002.worker-00,0.069786678834708,757.2275457599976,56.80890000000017
pod-002.worker-01,0.04654951285949189,776.1434457599977,37.89300000000009
pod-002.worker-02,0.04454468861789859,777.7754457599979,36.261
pod-002.worker-03,0.04355062993144193,778.5846457599979,35.45179999999997
pod-002.worker-04,0.045238023668116266,777.2110457599978,36.82540000000002
pod-002.worker-05,0.05259739932163126,771.2202457599979,42.81620000000003
pod-002.worker-06,0.04454051190072867,777.7788457599978,36.25760000000005
pod-002.worker-07,0.045292320991326115,777.1668457599977,36.869600000000055
pod-003.worker-00,0.06834571141106292,758.4005457599976,55.63590000000019
pod-003.worker-01,0.04539256220340583,777.0852457599977,36.9512000000001
pod-003.worker-02,0.04280508591659952,779.1915457599978,34.84490000000001
pod-003.worker-03,0.04174002303825312,780.0585457599979,33.97789999999999
pod-003.worker-04,0.043379384527472586,778.7240457599978,35.312400000000025
pod-003.worker-05,0.05127337997874577,772.2980457599978,41.73840000000004
pod-003.worker-06,0.04280090919942956,779.1949457599978,34.84150000000003
pod-003.worker-07,0.043450388719362375,778.6662457599978,35.370200000000054
pod-004.worker-00,0.069786678834708,757.2275457599976,56.80890000000017
pod-004.worker-01,0.04654951285949189,776.1434457599977,37.89300000000009
pod-004.worker-02,0.04454468861789859,777.7754457599979,36.261
pod-004.worker-03,0.04355062993144193,778.5846457599979,35.45179999999997
pod-004.worker-04,0.045238023668116266,777.2110457599978,36.82540000000002
pod-004.worker-05,0.05259739932163126,771.2202457599979,42.81620000000003
pod-004.worker-06,0.04454051190072867,777.7788457599978,36.25760000000005
pod-004.worker-07,0.045292320991326115,777.1668457599977,36.869600000000055
pod-005.worker-00,0.06834571141106292,758.4005457599976,55.63590000000019
pod-005.worker-01,0.04539256220340583,777.0852457599977,36.9512000000001
pod-005.worker-02,0.04280508591659952,779.1915457599978,34.84490000000001
pod-005.worker-03,0.04174002303825312,780.0585457599979,33.97789999999999
pod-005.worker-04,0.043379384527472586,778.7240457599978,35.312400000000025
pod-005.worker-05,0.05127337997874577,772.2980457599978,41.73840000000004
pod-005.worker-06,0.04280090919942956,779.1949457599978,34.84150000000003
pod-005.worker-07,0.043450388719362375,778.6662457599978,35.370200000000054
pod-006.worker-00,0.069786678834708,757.2275457599976,56.80890000000017
pod-006.worker-01,0.04654951285949189,776.1434457599977,37.89300000000009
pod-006.worker-02,0.04454468861789859,777.7754457599979,36.261
pod-006.worker-03,0.04355062993144193,778.5846457599979,35.45179999999997
pod-006.worker-04,0.045238023668116266,777.2110457599978,36.82540000000002
pod-006.worker-05,0.05259739932163126,771.2202457599979,42.81620000000003
pod-006.worker-06,0.04454051190072867,777.7788457599978,36.25760000000005
pod-006.worker-07,0.045292320991326115,777.1668457599977,36.869600000000055
pod-007.worker-00,0.06834571141106292,758.4005457599976,55.63590000000019
pod-007.worker-01,0.04539256220340583,777.0852457599977,36.9512000000001
pod-007.worker-02,0.04280508591659952,779.1915457599978,34.84490000000001
pod-007.worker-03,0.04174002303825312,780.0585457599979,33.97789999999999
