edge_class,rtt_ms,bandwidth_gbps,measured_loopback_and_serialization_base_ms,one_way_propagation_ms,wire_transfer_ms,edge_service_ms,stage_bottleneck_ms,pipeline_service_ms,capacity_retention_percent,network_hidden_by_pipeline_ms,network_exposed_to_pipeline_ms,two_stage_sequential_latency_ms,useful_90_percent
kimi_coarse_stage_fp32_v1,0.1,0.1,0.6102000000000003,0.05,20.66264,21.32284,3.026927947998047,21.32284,14.195707269754156,3.026927947998047,18.295912052001952,26.51661601146698,False
kimi_coarse_stage_fp32_v1,0.1,0.25,0.6102000000000003,0.05,8.265056,8.925256,3.026927947998047,8.925256,33.91418630455023,3.026927947998047,5.898328052001952,14.11903201146698,False
kimi_coarse_stage_fp32_v1,0.1,0.5,0.6102000000000003,0.05,4.132528,4.792728,3.026927947998047,4.792728,63.15668128877847,3.026927947998047,1.7658000520019534,9.98650401146698,False
kimi_coarse_stage_fp32_v1,0.1,1.0,0.6102000000000003,0.05,2.066264,2.726464,3.026927947998047,3.026927947998047,100.0,2.726464,0.0,7.92024001146698,True
kimi_coarse_stage_fp32_v1,0.1,2.5,0.6102000000000003,0.05,0.8265056,1.4867056000000003,3.026927947998047,3.026927947998047,100.0,1.4867056000000003,0.0,6.6804816114669805,True
kimi_coarse_stage_fp32_v1,0.1,5.0,0.6102000000000003,0.05,0.4132528,1.0734528000000003,3.026927947998047,3.026927947998047,100.0,1.0734528000000003,0.0,6.26722881146698,True
kimi_coarse_stage_fp32_v1,0.1,10.0,0.6102000000000003,0.05,0.2066264,0.8668264000000003,3.026927947998047,3.026927947998047,100.0,0.8668264000000003,0.0,6.060602411466981,True
kimi_coarse_stage_fp32_v1,0.1,25.0,0.6102000000000003,0.05,0.08265056,0.7428505600000004,3.026927947998047,3.026927947998047,100.0,0.7428505600000004,0.0,5.936626571466981,True
kimi_coarse_stage_fp32_v1,0.1,100.0,0.6102000000000003,0.05,0.02066264,0.6808626400000003,3.026927947998047,3.026927947998047,100.0,0.6808626400000003,0.0,5.87463865146698,True
kimi_coarse_stage_fp32_v1,0.25,0.1,0.6102000000000003,0.125,20.66264,21.39784,3.026927947998047,21.39784,14.145950937094804,3.026927947998047,18.37091205200195,26.59161601146698,False
kimi_coarse_stage_fp32_v1,0.25,0.25,0.6102000000000003,0.125,8.265056,9.000256,3.026927947998047,9.000256,33.63157612403521,3.026927947998047,5.973328052001953,14.19403201146698,False
kimi_coarse_stage_fp32_v1,0.25,0.5,0.6102000000000003,0.125,4.132528,4.867728,3.026927947998047,4.867728,62.18358848312903,3.026927947998047,1.8408000520019527,10.06150401146698,False
kimi_coarse_stage_fp32_v1,0.25,1.0,0.6102000000000003,0.125,2.066264,2.801464,3.026927947998047,3.026927947998047,100.0,2.801464,0.0,7.99524001146698,True
kimi_coarse_stage_fp32_v1,0.25,2.5,0.6102000000000003,0.125,0.8265056,1.5617056000000002,3.026927947998047,3.026927947998047,100.0,1.5617056000000002,0.0,6.75548161146698,True
kimi_coarse_stage_fp32_v1,0.25,5.0,0.6102000000000003,0.125,0.4132528,1.1484528000000003,3.026927947998047,3.026927947998047,100.0,1.1484528000000003,0.0,6.34222881146698,True
kimi_coarse_stage_fp32_v1,0.25,10.0,0.6102000000000003,0.125,0.2066264,0.9418264000000003,3.026927947998047,3.026927947998047,100.0,0.9418264000000003,0.0,6.13560241146698,True
kimi_coarse_stage_fp32_v1,0.25,25.0,0.6102000000000003,0.125,0.08265056,0.8178505600000003,3.026927947998047,3.026927947998047,100.0,0.8178505600000003,0.0,6.01162657146698,True
kimi_coarse_stage_fp32_v1,0.25,100.0,0.6102000000000003,0.125,0.02066264,0.7558626400000003,3.026927947998047,3.026927947998047,100.0,0.7558626400000003,0.0,5.94963865146698,True
kimi_coarse_stage_fp32_v1,0.5,0.1,0.6102000000000003,0.25,20.66264,21.52284,3.026927947998047,21.52284,14.063794313380795,3.026927947998047,18.49591205200195,26.71661601146698,False
kimi_coarse_stage_fp32_v1,0.5,0.25,0.6102000000000003,0.25,8.265056,9.125256,3.026927947998047,9.125256,33.170882526452374,3.026927947998047,6.098328052001953,14.31903201146698,False
kimi_coarse_stage_fp32_v1,0.5,0.5,0.6102000000000003,0.25,4.132528,4.992728,3.026927947998047,4.992728,60.626734482592425,3.026927947998047,1.9658000520019527,10.18650401146698,False
kimi_coarse_stage_fp32_v1,0.5,1.0,0.6102000000000003,0.25,2.066264,2.926464,3.026927947998047,3.026927947998047,100.0,2.926464,0.0,8.12024001146698,True
kimi_coarse_stage_fp32_v1,0.5,2.5,0.6102000000000003,0.25,0.8265056,1.6867056000000002,3.026927947998047,3.026927947998047,100.0,1.6867056000000002,0.0,6.88048161146698,True
kimi_coarse_stage_fp32_v1,0.5,5.0,0.6102000000000003,0.25,0.4132528,1.2734528000000003,3.026927947998047,3.026927947998047,100.0,1.2734528000000003,0.0,6.46722881146698,True
kimi_coarse_stage_fp32_v1,0.5,10.0,0.6102000000000003,0.25,0.2066264,1.0668264000000003,3.026927947998047,3.026927947998047,100.0,1.0668264000000003,0.0,6.26060241146698,True
kimi_coarse_stage_fp32_v1,0.5,25.0,0.6102000000000003,0.25,0.08265056,0.9428505600000003,3.026927947998047,3.026927947998047,100.0,0.9428505600000003,0.0,6.13662657146698,True
kimi_coarse_stage_fp32_v1,0.5,100.0,0.6102000000000003,0.25,0.02066264,0.8808626400000003,3.026927947998047,3.026927947998047,100.0,0.8808626400000003,0.0,6.07463865146698,True
kimi_coarse_stage_fp32_v1,1.0,0.1,0.6102000000000003,0.5,20.66264,21.77284,3.026927947998047,21.77284,13.902311081136164,3.026927947998047,18.74591205200195,26.96661601146698,False
