split,candidate_id,candidate_type,degree,layer,layer_type,rows,sample_index,wall_ms,device_ms,finite_output,production_native_dispatch,timed_checkpoint_reads,resident_weights,resident_memory_bytes
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,37,4.1127,3.909503936767578,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,38,4.125,3.915679931640625,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,39,4.2149,3.928447961807251,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,40,4.1154,3.9114561080932617,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,41,4.1218,3.926367998123169,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,42,4.1687,3.9414079189300537,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,43,4.2065,3.963871955871582,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,44,4.1204,3.910144090652466,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,45,4.0779,3.884063959121704,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,46,4.1148,3.9141759872436523,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,47,4.1443,3.9089279174804688,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,48,4.1036,3.9099199771881104,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,49,4.1248,3.9297280311584473,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,50,4.1258,3.9051520824432373,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,51,4.1012,3.9021759033203125,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,52,4.0996,3.9069440364837646,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,53,4.1157,3.9286398887634277,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,54,4.154,3.955519914627075,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,55,4.0933,3.8977599143981934,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,56,4.1539,3.953792095184326,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,57,4.2224,4.001311779022217,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,58,4.1368,3.9293758869171143,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,59,4.1635,3.9251201152801514,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,60,4.1089,3.9095358848571777,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,61,4.4435,4.161856174468994,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,62,4.3997,4.071008205413818,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,63,4.3121,4.054975986480713,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,64,4.5636,3.9899520874023438,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,65,4.8067,4.525248050689697,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,66,4.2334,3.9689600467681885,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,67,4.7899,4.503488063812256,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,68,4.483,4.154816150665283,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,69,4.1603,3.923520088195801,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,70,4.2646,4.032383918762207,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,71,4.3366,4.001344203948975,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,72,4.3162,3.9903039932250977,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,73,4.289,3.979327917098999,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,74,4.2459,3.9429121017456055,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,75,4.3799,4.042687892913818,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,76,4.2485,3.9593279361724854,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,77,4.2608,3.967711925506592,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,78,4.2562,3.979327917098999,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,79,4.3162,3.9714560508728027,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,80,4.2056,3.9386560916900635,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,81,4.2498,3.9762558937072754,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,82,4.6189,4.17855978012085,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,83,4.467,4.050303936004639,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,84,4.3929,4.0469441413879395,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,85,4.216,3.957632064819336,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,86,4.2691,3.9941439628601074,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,87,4.163,3.932703971862793,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,88,4.1571,3.9363200664520264,True,True,0,True,18285068288
