candidate_id,candidate_type,degree,layer,layer_type,rows,sample_index,wall_ms,device_ms,finite_output,production_native_dispatch,timed_checkpoint_reads,timed_materializations,resident_weights,resident_memory_bytes,physical_resident_device_bytes,commodity_worker_memory_bytes,maximum_observed_device_bytes
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,31,3.1003,2.865407943725586,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,32,3.1133,2.8648641109466553,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,33,3.1849,2.8896000385284424,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,34,3.1526,2.8747520446777344,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,35,3.14,2.8684160709381104,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,36,3.1315,2.8643839359283447,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,37,3.1252,2.8709120750427246,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,38,3.1131,2.871999979019165,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,39,3.1203,2.871392011642456,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,40,3.1176,2.871999979019165,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,41,3.097,2.8644800186157227,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,42,3.1096,2.863487958908081,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,43,3.1593,2.886751890182495,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,44,3.1208,2.8752639293670654,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,45,3.1182,2.8661439418792725,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,46,3.1014,2.8683199882507324,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,47,3.1002,2.8687679767608643,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,48,3.1442,2.874336004257202,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,49,3.1142,2.8701119422912598,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,50,3.1105,2.866111993789673,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,51,3.1153,2.8675520420074463,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,52,3.0955,2.864896059036255,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,53,3.3454,3.035520076751709,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,54,3.1639,2.887808084487915,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,55,3.111,2.8692479133605957,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,56,3.1321,2.8643200397491455,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,57,3.1095,2.865056037902832,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,58,3.1321,2.87225604057312,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,59,3.1247,2.865920066833496,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,60,3.0963,2.8668160438537598,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,61,3.1101,2.8660800457000732,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,62,3.0973,2.8647360801696777,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,63,3.3209,3.0246400833129883,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,64,3.1511,2.876255989074707,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,65,3.1491,2.8715200424194336,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,66,3.1248,2.879103899002075,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,67,3.1154,2.865151882171631,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,68,3.1072,2.867840051651001,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,69,3.11,2.863327980041504,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,70,3.1086,2.8703360557556152,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,71,3.1228,2.861920118331909,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,72,3.1571,2.8651840686798096,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,73,3.2027,2.897792100906372,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,74,3.1485,2.8714239597320557,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,75,3.1198,2.875231981277466,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,76,3.1171,2.8719680309295654,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,77,3.1054,2.873055934906006,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,78,3.1066,2.868000030517578,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,79,3.1123,2.870975971221924,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,80,3.1007,2.8639678955078125,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,81,3.12,2.865312099456787,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,82,3.2083,2.8868799209594727,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,83,3.1858,2.8859200477600098,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,84,3.1463,2.8801920413970947,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,85,3.1087,2.8714559078216553,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,86,3.1239,2.869760036468506,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,87,3.1831,2.870368003845215,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,88,3.1604,2.8778879642486572,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,89,3.133,2.865920066833496,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,90,3.0994,2.8635199069976807,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,91,3.114,2.869663953781128,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,92,3.3147,2.9903359413146973,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,93,3.206,2.8914239406585693,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,94,3.1817,2.8701438903808594,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,95,3.1479,2.8701119422912598,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,96,3.1098,2.8710079193115234,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,97,3.203,2.879103899002075,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,98,3.1891,2.8902719020843506,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,99,3.148,2.874880075454712,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,100,3.1534,2.8717761039733887,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,101,3.148,2.8668160438537598,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,102,3.2472,2.8921918869018555,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,103,3.159,2.8716800212860107,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,104,3.2126,2.9060800075531006,True,True,0,0,True,2549338530,708837376,10422845440,742391808
layer-00:WHOLE_LAYER:p1,WHOLE_LAYER,1,0,DENSE,1,105,3.1599,2.874176025390625,True,True,0,0,True,2549338530,708837376,10422845440,742391808
