split,candidate_id,candidate_type,degree,layer,layer_type,rows,sample_index,wall_ms,finite_output,production_native_dispatch,timed_checkpoint_reads,resident_weights
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,40,33.4984,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,41,33.8322,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,42,34.614,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,43,34.6705,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,44,35.0048,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,45,33.8472,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,46,33.0786,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,47,35.3058,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,48,33.3138,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,49,33.187,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,50,33.1008,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,51,33.2125,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,52,32.76,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,53,33.1089,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,54,33.0023,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,55,33.1344,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,56,33.6503,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,57,33.142,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,58,32.9501,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,59,32.9288,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,60,33.7232,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,61,33.0477,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,62,33.1792,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,63,32.8847,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,64,33.3103,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,65,33.6363,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,66,34.3171,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,67,33.0191,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,68,32.7457,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,69,33.3011,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,70,33.5873,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,71,33.1639,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,72,33.1785,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,73,33.4004,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,74,33.0284,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,75,33.4995,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,76,34.3827,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,77,33.007,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,78,32.484,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,79,33.1189,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,80,32.8661,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,81,33.0292,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,82,33.7259,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,83,33.7931,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,84,33.3003,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,85,33.1539,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,86,33.8264,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,87,33.0846,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,88,32.771,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,89,33.4338,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,90,32.9191,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,91,32.792,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,92,33.2729,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,93,33.7599,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,94,33.0589,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,95,34.3068,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,96,33.3808,True,True,0,True
