sample_unix_ns,timestamp,gpu_utilization_percent,memory_controller_utilization_percent,vram_used_mib,vram_total_mib,power_w,sm_clock_mhz,memory_clock_mhz
1786526283230001400,2026/08/12 19:18:03.273,0.0,0.0,20449.0,32607.0,33.29,487.0,7001.0
1786526283793272800,2026/08/12 19:18:03.840,34.0,5.0,20449.0,32607.0,74.42,2220.0,13801.0
1786526284348440400,2026/08/12 19:18:04.399,76.0,20.0,20449.0,32607.0,207.87,2805.0,13801.0
