profile,rtt_ms,bandwidth_gbps,split_degree,batch_rows,physical_shard_compute_p50_ms,fanout_critical_ms,reduction_critical_ms,critical_path_ms,whole_expert_physical_wall_p50_ms,latency_margin_vs_whole_expert_ms,latency_sensible,messages,total_payload_bytes,useful_geographic_radius,evidence_class
fast_regional,1.0,10.0,16,8,0.15639999999999998,1.2021384,9.6171072,10.9756456,0.2294,-10.7462456,False,511,58605568,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
regional_wan_like,5.0,1.0,16,8,0.15639999999999998,4.029584,32.236672,36.422655999999996,0.2294,-36.193256,False,511,58605568,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
adverse_public_wan,20.0,0.1,16,8,0.15639999999999998,19.80404,158.43232,178.39276,0.2294,-178.16336,False,511,58605568,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
local_microcell,0.25,25.0,32,1,0.1237,0.73986272,6.658764479999999,7.522327199999999,0.178,-7.3443271999999995,False,1023,14665728,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
fast_regional,1.0,10.0,32,1,0.1237,1.1218567999999998,10.096711199999998,11.342267999999997,0.178,-11.164267999999996,False,1023,14665728,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
regional_wan_like,5.0,1.0,32,1,0.1237,3.226768,29.040912,32.39138,0.178,-32.21338,False,1023,14665728,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
adverse_public_wan,20.0,0.1,32,1,0.1237,11.77588,105.98292000000001,117.88250000000001,0.178,-117.70450000000001,False,1023,14665728,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
local_microcell,0.25,25.0,32,2,0.1409,0.7444502399999999,6.700052159999999,7.5854023999999995,0.17875,-7.4066524,False,1023,29331456,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
fast_regional,1.0,10.0,32,2,0.1409,1.1333255999999998,10.199930399999998,11.474155999999997,0.17875,-11.295405999999996,False,1023,29331456,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
regional_wan_like,5.0,1.0,32,2,0.1409,3.341456,30.073104,33.555460000000004,0.17875,-33.37671,False,1023,29331456,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
adverse_public_wan,20.0,0.1,32,2,0.1409,12.92276,116.30484,129.3685,0.17875,-129.18975,False,1023,29331456,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
local_microcell,0.25,25.0,32,4,0.1497,0.75362528,6.782627519999999,7.685952799999999,0.18430000000000002,-7.501652799999999,False,1023,58662912,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
fast_regional,1.0,10.0,32,4,0.1497,1.1562632,10.4063688,11.712332,0.18430000000000002,-11.528032,False,1023,58662912,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
regional_wan_like,5.0,1.0,32,4,0.1497,3.570832,32.137488,35.858019999999996,0.18430000000000002,-35.673719999999996,False,1023,58662912,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
adverse_public_wan,20.0,0.1,32,4,0.1497,15.216520000000001,136.94868,152.3149,0.18430000000000002,-152.1306,False,1023,58662912,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
local_microcell,0.25,25.0,32,8,0.2014,0.77197536,6.94777824,7.9211536,0.2294,-7.6917536,False,1023,117325824,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
fast_regional,1.0,10.0,32,8,0.2014,1.2021384,10.819245599999999,12.222783999999999,0.2294,-11.993383999999999,False,1023,117325824,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
regional_wan_like,5.0,1.0,32,8,0.2014,4.029584,36.266256,40.49724,0.2294,-40.26784,False,1023,117325824,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
adverse_public_wan,20.0,0.1,32,8,0.2014,19.80404,178.23636,198.24179999999998,0.2294,-198.01239999999999,False,1023,117325824,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
