inventory_id,family,cohort,arm,network_mode,concurrency,status,target_passes_measured,target_rows_measured,measurement_window_ms,target_rows_per_second,p50_pass_latency_ms,p95_pass_latency_ms,abstract_node_cost,rows_per_second_per_abstract_cost,network_bytes,network_bytes_per_target_row,worker_compute_ms,worker_compute_ms_per_target_row,nodes_used,replica_nodes,replica_count,replica_checkpoint_bytes,replica_resident_bytes,new_nodes_activated,maximum_compute_utilization,maximum_tx_utilization,maximum_rx_utilization,plan_sha256
coarse-friendly-01,coarse-friendly,negative_control,FLEX_FREE,SHARED_NIC,1,PASS,128,2176,166531.9423359955,13.0665623031628,1301.0307994999675,1301.030799500135,46.93480000000001,0.27839816731216066,7475576832,3435467.294117647,638236.5728000046,293.30724852941387,48,1,2,3930587136,4296798014,0,0.19689226427110923,0.023908417242662596,0.022486578497022524,ac1f0c0f7b05aaa1d49f5098cffa0f3fdbb7974bdd713c0849ac7c7ee8223e2a
coarse-friendly-01,coarse-friendly,negative_control,FLEX_FREE,SHARED_NIC,8,PASS,121,2057,36632.44288159458,56.152411310617474,2294.707631599973,2402.8305463000424,46.93480000000001,1.1963918310212776,7059930624,3432149.063684978,603301.5721250036,293.2919650583391,48,1,2,3930587136,4296798014,0,0.8461273249012088,0.10230913862102933,0.09619957317590176,ac1f0c0f7b05aaa1d49f5098cffa0f3fdbb7974bdd713c0849ac7c7ee8223e2a
coarse-friendly-01,coarse-friendly,negative_control,FLEX_FREE,SHARED_NIC,32,PASS,97,1649,36450.59053909503,45.23932193173571,9165.679025097037,9272.711108259324,46.93480000000001,0.9638758859467964,5660275968,3432550.617343845,483642.30572500266,293.294303047303,48,1,2,3930587136,4296798014,0,0.6816844647098239,0.08251195724179534,0.07758970691480645,ac1f0c0f7b05aaa1d49f5098cffa0f3fdbb7974bdd713c0849ac7c7ee8223e2a
coarse-friendly-01,coarse-friendly,negative_control,FLEX_FREE,SHARED_NIC,64,PASS,65,1105,36815.98851810086,30.01413365436917,18310.36054739949,18689.792989641,46.93480000000001,0.6394857047301611,3793311360,3432860.959276018,324093.76962500205,293.29752907240004,48,1,2,3930587136,4296798014,0,0.4522651481112235,0.05487170464013954,0.05160599306102803,ac1f0c0f7b05aaa1d49f5098cffa0f3fdbb7974bdd713c0849ac7c7ee8223e2a
coarse-friendly-01,coarse-friendly,negative_control,FLEX_FREE,SHARED_NIC,128,PASS,129,2193,74378.8197191051,29.484200048911255,37134.29742080231,37277.60615138398,46.93480000000001,0.6281948585891758,7528939776,3433169.07250342,643201.7185250039,293.29763726630364,48,1,2,3930587136,4296798014,0,0.44427989345348456,0.053847261948030634,0.05063917791414663,ac1f0c0f7b05aaa1d49f5098cffa0f3fdbb7974bdd713c0849ac7c7ee8223e2a
coarse-friendly-01,coarse-friendly,negative_control,FLEX_FREE_NO_ALT,SHARED_NIC,1,PASS,128,2176,166531.9423359955,13.0665623031628,1301.0307994999675,1301.030799500135,46.93480000000001,0.27839816731216066,7497695232,3445632.0,638423.1712000057,293.39300147059083,48,0,0,0,0,0,0.19689226427110923,0.025230005632930295,0.023807694646356372,d1aa19ec99c69134fdb029b86dd477bc93a509560131b1f52ec1f87db8c3a1a8
coarse-friendly-01,coarse-friendly,negative_control,FLEX_FREE_NO_ALT,SHARED_NIC,8,PASS,121,2057,36897.74747059448,55.74866058258214,2323.2046434000295,2470.254583199232,46.93480000000001,1.187789456492456,7087665024,3445632.0,603509.4040250053,293.39300147059083,48,0,0,0,0,0,0.8400434450558769,0.10764415214140974,0.10157584353860348,d1aa19ec99c69134fdb029b86dd477bc93a509560131b1f52ec1f87db8c3a1a8
coarse-friendly-01,coarse-friendly,negative_control,FLEX_FREE_NO_ALT,SHARED_NIC,32,PASS,97,1649,36934.780432495034,44.646265137919116,9224.568892899784,9395.364181999788,46.93480000000001,0.9512401275369046,5681847168,3445632.0,483805.059425004,293.39300147059066,48,0,0,0,0,0,0.6727480442293085,0.08620672329755345,0.08134692376177312,d1aa19ec99c69134fdb029b86dd477bc93a509560131b1f52ec1f87db8c3a1a8
coarse-friendly-01,coarse-friendly,negative_control,FLEX_FREE_NO_ALT,SHARED_NIC,64,PASS,65,1105,36881.41502860101,29.960889492528644,18458.04705969956,18652.934994479587,46.93480000000001,0.6383512765054636,3807423360,3445632.0,324199.2666250022,293.3930014705902,48,0,0,0,0,0,0.4514628434697447,0.057850978178179954,0.05458969940385091,d1aa19ec99c69134fdb029b86dd477bc93a509560131b1f52ec1f87db8c3a1a8
coarse-friendly-01,coarse-friendly,negative_control,FLEX_FREE_NO_ALT,SHARED_NIC,128,PASS,129,2193,73672.84549070527,29.7667340713299,36596.00882050433,37094.34125519947,46.93480000000001,0.6342145715189985,7556270976,3445632.0,643410.8522250057,293.39300147059083,48,0,0,0,0,0,0.44853723077886254,0.05747608673719837,0.05423594201345348,d1aa19ec99c69134fdb029b86dd477bc93a509560131b1f52ec1f87db8c3a1a8
