scenario,layer,rows,concurrency,a_p50_block_latency_ms,d_p50_block_latency_ms,latency_gap_closure_percent,d_regression_percent
COMMODITY_GOOD,89,1,1,21.021122444444465,16.283599777777795,22.536963376656985,0.0
COMMODITY_GOOD,89,1,8,76.60239999999612,55.606400000000576,27.40906290141903,0.0
COMMODITY_GOOD,89,1,32,306.4095999999975,222.4256000000023,27.40906290142211,0.0
COMMODITY_GOOD,89,1,128,1225.6384000000053,889.7023999999435,27.409062901428378,0.0
COMMODITY_GOOD,89,2,1,22.598369888888918,17.69289955555557,21.707186657499804,0.0
COMMODITY_GOOD,89,2,8,82.55919999999969,61.01679999999942,26.09327609763703,0.0
COMMODITY_GOOD,89,2,32,330.23679999999877,244.06719999999768,26.09327609763703,0.0
COMMODITY_GOOD,89,2,128,1320.9472000000226,976.2687999999616,26.09327609764077,0.0
COMMODITY_GOOD,89,4,1,27.034564777777767,21.726524111111118,19.634274530765975,0.0
COMMODITY_GOOD,89,4,8,102.03279999999904,80.19680000000017,21.400961259515647,0.0
COMMODITY_GOOD,89,4,32,408.131200000018,320.78720000000135,21.400961259519683,0.0
COMMODITY_GOOD,89,4,128,1630.5282500000958,1283.14879999994,21.30471827152553,0.0
COMMODITY_GOOD,91,1,1,20.791226666666688,16.05847900000002,22.76319595059966,0.0
COMMODITY_GOOD,91,1,8,75.95959999999832,54.96360000000004,27.64100916802977,0.0
COMMODITY_GOOD,91,1,32,303.83839999999327,219.85439999999653,27.641009168030966,0.0
COMMODITY_GOOD,91,1,128,1215.3536000000313,879.4175999999861,27.64100916803443,0.0
COMMODITY_GOOD,91,2,1,22.32435333333334,17.429108,21.927825904923594,0.0
COMMODITY_GOOD,91,2,8,81.83159999999873,60.289200000001074,26.325282653642347,0.0
COMMODITY_GOOD,91,2,32,327.32639999999265,241.1568000000043,26.325282653641835,0.0
COMMODITY_GOOD,91,2,128,1309.3056000001395,964.6271999999299,26.32528265365801,0.0
COMMODITY_GOOD,91,4,1,26.655706666666653,21.35426599999999,19.888576705025766,0.0
