inventory_id,family,cohort,arm,network_mode,concurrency,status,target_passes_measured,target_rows_measured,measurement_window_ms,target_rows_per_second,p50_pass_latency_ms,p95_pass_latency_ms,abstract_node_cost,rows_per_second_per_abstract_cost,network_bytes,network_bytes_per_target_row,worker_compute_ms,worker_compute_ms_per_target_row,nodes_used,replica_nodes,replica_count,replica_checkpoint_bytes,replica_resident_bytes,new_nodes_activated,maximum_compute_utilization,maximum_tx_utilization,maximum_rx_utilization,plan_sha256
coarse-friendly-01,coarse-friendly,negative_control,FLEX_FREE,SHARED_NIC,1,PASS,128,2176,164180.12087039574,13.253736131171085,1282.65719429998,1282.6571943001181,46.93480000000001,0.2823861214103625,7490322432,3442243.7647058824,638325.558400005,293.34814264706114,48,3,8,15722348544,17187192052,0,0.19971267548209176,0.02471577919718599,0.023273253783363437,e13fba40341a89598690ee6d0d457bda62c0734a34f34cd726dfc20083e65594
coarse-friendly-01,coarse-friendly,negative_control,FLEX_FREE,SHARED_NIC,8,PASS,121,2057,36390.55161739463,56.525661430665345,2287.5906419993407,2393.9964017992497,46.93480000000001,1.2043443549491066,7078333824,3441095.6849781233,603415.742825004,293.3474685585824,48,3,8,15722348544,17187192052,0,0.8517516092057271,0.10577684323312239,0.09962486886478149,e13fba40341a89598690ee6d0d457bda62c0734a34f34cd726dfc20083e65594
coarse-friendly-01,coarse-friendly,negative_control,FLEX_FREE,SHARED_NIC,32,PASS,97,1649,36833.29951669507,44.769271871844495,9244.371225599181,9435.758007099732,46.93480000000001,0.9538609277517851,5674330368,3441073.600970285,483730.4401250032,293.3477502274125,48,3,8,15722348544,17187192052,0,0.6746015596223587,0.08380884563982122,0.07893638227773087,e13fba40341a89598690ee6d0d457bda62c0734a34f34cd726dfc20083e65594
coarse-friendly-01,coarse-friendly,negative_control,FLEX_FREE,SHARED_NIC,64,PASS,65,1105,37524.185659300456,29.44767436215163,18767.94449220023,18920.54774266035,46.93480000000001,0.6274166367418552,3803304960,3441904.9411764704,324153.040725002,293.3511680769249,48,3,8,15722348544,17187192052,0,0.4437295095802592,0.055159658178670946,0.05195463372079332,e13fba40341a89598690ee6d0d457bda62c0734a34f34cd726dfc20083e65594
coarse-friendly-01,coarse-friendly,negative_control,FLEX_FREE,SHARED_NIC,128,PASS,129,2193,74014.56698330533,29.62930257356841,37020.102664606704,37146.00460400225,46.93480000000001,0.631286435088003,7545182976,3440575.9124487005,643300.5717250046,293.3427139648904,48,3,8,15722348544,17187192052,0,0.44646635718957267,0.05527049758357328,0.05204584509518094,e13fba40341a89598690ee6d0d457bda62c0734a34f34cd726dfc20083e65594
coarse-friendly-01,coarse-friendly,negative_control,FLEX_FREE_NO_ALT,SHARED_NIC,1,PASS,128,2176,166531.9423359955,13.0665623031628,1301.0307994999675,1301.030799500135,46.93480000000001,0.27839816731216066,7497695232,3445632.0,638423.1712000057,293.39300147059083,48,0,0,0,0,0,0.19689226427110923,0.025230005632930295,0.023807694646356372,d1aa19ec99c69134fdb029b86dd477bc93a509560131b1f52ec1f87db8c3a1a8
coarse-friendly-01,coarse-friendly,negative_control,FLEX_FREE_NO_ALT,SHARED_NIC,8,PASS,121,2057,36897.74747059448,55.74866058258214,2323.2046434000295,2470.254583199232,46.93480000000001,1.187789456492456,7087665024,3445632.0,603509.4040250053,293.39300147059083,48,0,0,0,0,0,0.8400434450558769,0.10764415214140974,0.10157584353860348,d1aa19ec99c69134fdb029b86dd477bc93a509560131b1f52ec1f87db8c3a1a8
coarse-friendly-01,coarse-friendly,negative_control,FLEX_FREE_NO_ALT,SHARED_NIC,32,PASS,97,1649,36934.780432495034,44.646265137919116,9224.568892899784,9395.364181999788,46.93480000000001,0.9512401275369046,5681847168,3445632.0,483805.059425004,293.39300147059066,48,0,0,0,0,0,0.6727480442293085,0.08620672329755345,0.08134692376177312,d1aa19ec99c69134fdb029b86dd477bc93a509560131b1f52ec1f87db8c3a1a8
coarse-friendly-01,coarse-friendly,negative_control,FLEX_FREE_NO_ALT,SHARED_NIC,64,PASS,65,1105,36881.41502860101,29.960889492528644,18458.04705969956,18652.934994479587,46.93480000000001,0.6383512765054636,3807423360,3445632.0,324199.2666250022,293.3930014705902,48,0,0,0,0,0,0.4514628434697447,0.057850978178179954,0.05458969940385091,d1aa19ec99c69134fdb029b86dd477bc93a509560131b1f52ec1f87db8c3a1a8
coarse-friendly-01,coarse-friendly,negative_control,FLEX_FREE_NO_ALT,SHARED_NIC,128,PASS,129,2193,73672.84549070527,29.7667340713299,36596.00882050433,37094.34125519947,46.93480000000001,0.6342145715189985,7556270976,3445632.0,643410.8522250057,293.39300147059083,48,0,0,0,0,0,0.44853723077886254,0.05747608673719837,0.05423594201345348,d1aa19ec99c69134fdb029b86dd477bc93a509560131b1f52ec1f87db8c3a1a8
