inventory_id,family,cohort,arm,network_mode,peak_target_rows_per_second,peak_concurrency,abstract_node_cost,plan_sha256,u_strong_c1_p95_pass_latency_ms,slo_1.5x_latency_budget_ms,slo_1.5x_target_rows_per_second,slo_1.5x_concurrency,slo_1.5x_p50_pass_latency_ms,slo_1.5x_p95_pass_latency_ms,slo_1.5x_rows_per_second_per_abstract_cost,slo_1.5x_latency_eligible,slo_2.0x_latency_budget_ms,slo_2.0x_target_rows_per_second,slo_2.0x_concurrency,slo_2.0x_p50_pass_latency_ms,slo_2.0x_p95_pass_latency_ms,slo_2.0x_rows_per_second_per_abstract_cost,slo_2.0x_latency_eligible,slo_4.0x_latency_budget_ms,slo_4.0x_target_rows_per_second,slo_4.0x_concurrency,slo_4.0x_p50_pass_latency_ms,slo_4.0x_p95_pass_latency_ms,slo_4.0x_rows_per_second_per_abstract_cost,slo_4.0x_latency_eligible
coarse-friendly-01,coarse-friendly,negative_control,U_STRONG,SHARED_NIC,54.80144374589557,8,46.93480000000001,dd704e9398787162aaf48db1bc0e2ec04acc504a82fb35e95fbf28b2c3ca034c,1252.5130106001016,1878.7695159001523,13.572713302081299,1,1252.5130106000015,1252.5130106001016,0.2891822976145908,True,2505.026021200203,54.80144374589557,8,2344.276453600025,2471.3608299992156,1.1676079102477386,True,5010.052042400406,54.80144374589557,8,2344.276453600025,2471.3608299992156,1.1676079102477386,True
coarse-friendly-01,coarse-friendly,negative_control,U_STRONG,LEGACY_DIRECTED_LINK,3.951579442540533,1,46.93480000000001,dd704e9398787162aaf48db1bc0e2ec04acc504a82fb35e95fbf28b2c3ca034c,4302.077244613902,6453.115866920853,3.951579442540533,1,4302.07724460015,4302.077244613902,0.08419295368341896,True,8604.154489227803,3.951579442540533,1,4302.07724460015,4302.077244613902,0.08419295368341896,True,17208.308978455607,3.951579442540533,1,4302.07724460015,4302.077244613902,0.08419295368341896,True
coarse-friendly-01,coarse-friendly,negative_control,FLEX_FREE_NO_ALT,SHARED_NIC,55.74866058258214,8,46.93480000000001,d1aa19ec99c69134fdb029b86dd477bc93a509560131b1f52ec1f87db8c3a1a8,1252.5130106001016,1878.7695159001523,13.0665623031628,1,1301.0307994999675,1301.030799500135,0.27839816731216066,True,2505.026021200203,55.74866058258214,8,2323.2046434000295,2470.254583199232,1.187789456492456,True,5010.052042400406,55.74866058258214,8,2323.2046434000295,2470.254583199232,1.187789456492456,True
coarse-friendly-01,coarse-friendly,negative_control,FLEX_FREE,SHARED_NIC,56.525661430665345,8,46.93480000000001,e13fba40341a89598690ee6d0d457bda62c0734a34f34cd726dfc20083e65594,1252.5130106001016,1878.7695159001523,13.253736131171085,1,1282.65719429998,1282.6571943001181,0.2823861214103625,True,2505.026021200203,56.525661430665345,8,2287.5906419993407,2393.9964017992497,1.2043443549491066,True,5010.052042400406,56.525661430665345,8,2287.5906419993407,2393.9964017992497,1.2043443549491066,True
coarse-friendly-01,coarse-friendly,negative_control,FLEX_POOL_NO_ALT,SHARED_NIC,51.40838924514718,8,44.63710000000001,8679069e58c937cb1984cc1e12d45e9b7edeb074d48fcf0bfe2ebc6ca7f1bd32,1252.5130106001016,1878.7695159001523,12.414423940814439,1,1369.374856299939,1369.3748563003028,0.2781189624956468,True,2505.026021200203,12.414423940814439,1,1369.374856299939,1369.3748563003028,0.2781189624956468,True,5010.052042400406,51.40838924514718,8,2509.156672099918,2636.726838199902,1.1516964418644393,True
coarse-friendly-01,coarse-friendly,negative_control,FLEX_POOL,SHARED_NIC,56.304082279405854,8,44.63710000000001,d907774cca446fdfaf132accdb9930b0f4721ed53bd59c298d0f58e7078404ea,1252.5130106001016,1878.7695159001523,12.596541790393886,1,1349.576755499933,1349.5767555003113,0.2821989284786396,True,2505.026021200203,56.304082279405854,8,2293.800257900035,2430.3728945000275,1.2613741098638989,True,5010.052042400406,56.304082279405854,8,2293.800257900035,2430.3728945000275,1.2613741098638989,True
coarse-friendly-01,coarse-friendly,negative_control,FLEX_POOL,LEGACY_DIRECTED_LINK,3.857511473020332,1,44.63710000000001,d907774cca446fdfaf132accdb9930b0f4721ed53bd59c298d0f58e7078404ea,4302.077244613902,6453.115866920853,3.857511473020332,1,4406.986244600157,4406.986244613945,0.08641940164169112,True,8604.154489227803,3.857511473020332,1,4406.986244600157,4406.986244613945,0.08641940164169112,True,17208.308978455607,3.857511473020332,1,4406.986244600157,4406.986244613945,0.08641940164169112,True
coarse-friendly-02,coarse-friendly,negative_control,U_STRONG,SHARED_NIC,57.465823006659626,8,47.71009999999999,2f42bfe671cbaef77251af3aefa1fcae120c876075aec693d81f8cdc31e364cb,1262.1233533000632,1893.1850299500948,13.469364904430092,1,1262.1233533000195,1262.1233533000632,0.28231684495379583,True,2524.2467066001263,57.465823006659626,8,2232.7082712000347,2328.4567569000246,1.2044791984644685,True,5048.493413200253,57.465823006659626,8,2232.7082712000347,2328.4567569000246,1.2044791984644685,True
coarse-friendly-02,coarse-friendly,negative_control,U_STRONG,LEGACY_DIRECTED_LINK,4.4328443657995855,1,47.71009999999999,2f42bfe671cbaef77251af3aefa1fcae120c876075aec693d81f8cdc31e364cb,3835.00944251247,5752.514163768705,4.4328443657995855,1,3835.0094425002026,3835.00944251247,0.09291207450413197,True,7670.01888502494,4.4328443657995855,1,3835.0094425002026,3835.00944251247,0.09291207450413197,True,15340.03777004988,4.4328443657995855,1,3835.0094425002026,3835.00944251247,0.09291207450413197,True
coarse-friendly-02,coarse-friendly,negative_control,FLEX_FREE_NO_ALT,SHARED_NIC,57.645426010177616,8,47.71009999999999,61e194bf763650c2aeed02bab90899431ee5a5e28fb7dcbc33ed2f3622fed31e,1262.1233533000632,1893.1850299500948,13.287621085234505,1,1279.3862717000084,1279.386271700103,0.2785075085827636,True,2524.2467066001263,57.645426010177616,8,2212.866993399268,2414.542337399831,1.2082436635047427,True,5048.493413200253,57.645426010177616,8,2212.866993399268,2414.542337399831,1.2082436635047427,True
coarse-friendly-02,coarse-friendly,negative_control,FLEX_FREE,SHARED_NIC,57.850355119400774,8,47.71009999999999,eaf243fb7246000d03f20744d56720e9d658d019aa074836f6d7911216dba8db,1262.1233533000632,1893.1850299500948,13.287621085234505,1,1279.3862717000084,1279.386271700103,0.2785075085827636,True,2524.2467066001263,57.850355119400774,8,2225.8120078993634,2334.417401400002,1.2125389617586377,True,5048.493413200253,57.850355119400774,8,2225.8120078993634,2334.417401400002,1.2125389617586377,True
coarse-friendly-02,coarse-friendly,negative_control,FLEX_POOL_NO_ALT,SHARED_NIC,57.645426010177616,8,47.71009999999999,61e194bf763650c2aeed02bab90899431ee5a5e28fb7dcbc33ed2f3622fed31e,1262.1233533000632,1893.1850299500948,13.287621085234505,1,1279.3862717000084,1279.386271700103,0.2785075085827636,True,2524.2467066001263,57.645426010177616,8,2212.866993399268,2414.542337399831,1.2082436635047427,True,5048.493413200253,57.645426010177616,8,2212.866993399268,2414.542337399831,1.2082436635047427,True
coarse-friendly-02,coarse-friendly,negative_control,FLEX_POOL,SHARED_NIC,57.850355119400774,8,47.71009999999999,eaf243fb7246000d03f20744d56720e9d658d019aa074836f6d7911216dba8db,1262.1233533000632,1893.1850299500948,13.287621085234505,1,1279.3862717000084,1279.386271700103,0.2785075085827636,True,2524.2467066001263,57.850355119400774,8,2225.8120078993634,2334.417401400002,1.2125389617586377,True,5048.493413200253,57.850355119400774,8,2225.8120078993634,2334.417401400002,1.2125389617586377,True
coarse-friendly-02,coarse-friendly,negative_control,FLEX_POOL,LEGACY_DIRECTED_LINK,4.416128514613332,1,47.71009999999999,eaf243fb7246000d03f20744d56720e9d658d019aa074836f6d7911216dba8db,3835.00944251247,5752.514163768705,4.416128514613332,1,3849.525652100201,3849.5256521124975,0.09256171155820954,True,7670.01888502494,4.416128514613332,1,3849.525652100201,3849.5256521124975,0.09256171155820954,True,15340.03777004988,4.416128514613332,1,3849.525652100201,3849.5256521124975,0.09256171155820954,True
coarse-friendly-03,coarse-friendly,negative_control,U_STRONG,SHARED_NIC,56.952063438393914,8,48.66230000000001,6ec391eb8f3022dc97b417e315e2e326ed775f0379c5a6ca43dead1b534c15cf,1251.4469686000812,1877.1704529001217,13.584275184284039,1,1251.4469686000025,1251.4469686000812,0.2791539895213345,True,2502.8939372001623,56.952063438393914,8,2260.268070200018,2376.486477199298,1.170352889986579,True,5005.787874400325,56.952063438393914,8,2260.268070200018,2376.486477199298,1.170352889986579,True
coarse-friendly-03,coarse-friendly,negative_control,U_STRONG,LEGACY_DIRECTED_LINK,4.471700121176775,1,48.66230000000001,6ec391eb8f3022dc97b417e315e2e326ed775f0379c5a6ca43dead1b534c15cf,3801.686056612467,5702.5290849187,4.471700121176775,1,3801.6860566001487,3801.686056612467,0.0918924942137296,True,7603.372113224934,4.471700121176775,1,3801.6860566001487,3801.686056612467,0.0918924942137296,True,15206.744226449868,4.471700121176775,1,3801.6860566001487,3801.686056612467,0.0918924942137296,True
coarse-friendly-03,coarse-friendly,negative_control,FLEX_FREE_NO_ALT,SHARED_NIC,56.952063438393914,8,48.66230000000001,6ec391eb8f3022dc97b417e315e2e326ed775f0379c5a6ca43dead1b534c15cf,1251.4469686000812,1877.1704529001217,13.584275184284039,1,1251.4469686000025,1251.4469686000812,0.2791539895213345,True,2502.8939372001623,56.952063438393914,8,2260.268070200018,2376.486477199298,1.170352889986579,True,5005.787874400325,56.952063438393914,8,2260.268070200018,2376.486477199298,1.170352889986579,True
coarse-friendly-03,coarse-friendly,negative_control,FLEX_FREE,SHARED_NIC,56.952063438393914,8,48.66230000000001,6ec391eb8f3022dc97b417e315e2e326ed775f0379c5a6ca43dead1b534c15cf,1251.4469686000812,1877.1704529001217,13.584275184284039,1,1251.4469686000025,1251.4469686000812,0.2791539895213345,True,2502.8939372001623,56.952063438393914,8,2260.268070200018,2376.486477199298,1.170352889986579,True,5005.787874400325,56.952063438393914,8,2260.268070200018,2376.486477199298,1.170352889986579,True
