inventory_id,arm,network_mode,concurrency,layer_id,logical_group_id,primary_node,alternate_node,selected_primary_count,selected_alternate_count,alternate_selection_rate
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,1,12,2,coarse-047,coarse-014,640,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,1,12,3,coarse-045,coarse-014,640,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,1,12,4,coarse-027,coarse-014,640,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,1,12,5,coarse-005,coarse-014,640,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,1,12,6,coarse-017,coarse-014,640,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,1,12,7,coarse-044,coarse-014,640,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,8,1,0,coarse-008,coarse-019,605,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,8,1,5,coarse-027,coarse-019,605,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,8,2,0,coarse-005,coarse-045,605,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,8,2,1,coarse-027,coarse-005,605,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,8,12,0,coarse-007,coarse-014,121,484,0.8
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,8,12,1,coarse-013,coarse-014,605,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,8,12,2,coarse-047,coarse-014,605,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,8,12,3,coarse-045,coarse-014,605,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,8,12,4,coarse-027,coarse-014,605,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,8,12,5,coarse-005,coarse-014,605,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,8,12,6,coarse-017,coarse-014,605,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,8,12,7,coarse-044,coarse-014,605,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,32,1,0,coarse-008,coarse-019,485,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,32,1,5,coarse-027,coarse-019,485,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,32,2,0,coarse-005,coarse-045,485,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,32,2,1,coarse-027,coarse-005,485,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,32,12,0,coarse-007,coarse-014,97,388,0.8
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,32,12,1,coarse-013,coarse-014,485,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,32,12,2,coarse-047,coarse-014,485,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,32,12,3,coarse-045,coarse-014,485,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,32,12,4,coarse-027,coarse-014,485,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,32,12,5,coarse-005,coarse-014,485,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,32,12,6,coarse-017,coarse-014,485,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,32,12,7,coarse-044,coarse-014,485,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,64,1,0,coarse-008,coarse-019,325,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,64,1,5,coarse-027,coarse-019,325,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,64,2,0,coarse-005,coarse-045,325,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,64,2,1,coarse-027,coarse-005,325,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,64,12,0,coarse-007,coarse-014,65,260,0.8
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,64,12,1,coarse-013,coarse-014,325,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,64,12,2,coarse-047,coarse-014,325,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,64,12,3,coarse-045,coarse-014,325,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,64,12,4,coarse-027,coarse-014,325,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,64,12,5,coarse-005,coarse-014,325,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,64,12,6,coarse-017,coarse-014,325,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,64,12,7,coarse-044,coarse-014,325,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,128,1,0,coarse-008,coarse-019,645,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,128,1,5,coarse-027,coarse-019,645,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,128,2,0,coarse-005,coarse-045,645,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,128,2,1,coarse-027,coarse-005,645,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,128,12,0,coarse-007,coarse-014,129,516,0.8
